question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",139.102;159.44;160.081;161.49;178.633,159.75,0.76
"What are the residues and their contacts that contribute to the similarities in activation pathways?",149.082;157.425;158.887,155.13,0.77
"Are these residues conserved and significantly part of certain structural elements?",246.055;247.125;249.817;253.197,249.05,0.56
"Are there significant rearrangements in the process of activation?",221.304;233.209;233.575;244.561,233.16,0.59
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",86.816;92.25;96.851,91.97,0.91
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",84.757;88.146;91.712;99.34,90.99,0.91
"Is there any preference for the phosphorylation of regions in receptors?",205.677;206.404;220.005,210.70,0.64
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",134.337;135.383;140.546,136.76,0.81
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",79.528;105.132;113.376;134.52,108.14,0.87
"Which residue positions in the barcode are universally conserved? ",250.741;251.888;255.379,252.67,0.55
"How GPCRs recognize G-protein barcodes?",147.064;158.297;161.639;172.728,159.93,0.76
"What is the over model for the GPCR-G protein interaction selectivities?",151.173;153.682;159.667,154.84,0.77
"Is there a selectivity bar code in RGS for GPCR binding?",183.068;190.054;197.697,190.27,0.69
"What is the structural preference for selectivity barcode residues of RGS?",120.27;150.427;159.713,143.47,0.79
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",130.877;133.732;142.945,135.85,0.81
"What is the overall mechanism for RGS-Galpha-based signaling?",180.536;196.464;197.819;205.835,195.16,0.68
"What is the mechanism through which the sensor works?",294.787;313.477;315.746,308.00,0.43
"In which cell lines did the sensor give predicted or unexpected results?",257.455;257.876;267.475,260.94,0.53
"How were unexpected results validated? Which orthogonal assays were used?",281.384;284.354;286.426;293.493,286.41,0.47
"What is the sequence of G protein activation steps?",209.759;211.11;214.08;220.738,213.92,0.64
"Summarize what is happening with GPCR during G protein activation?",149.324;156.992;164.222,156.85,0.76
