library,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic
GPCR,"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0.789265555,0.702700428,0.702700428,0.702700428,0.908467422,0.894026214
GPCR,What are the residues and their contacts that contribute to the similarities in activation pathways?,0.616064943,0.950964546,0.562454977,0.769062915,0.682339576,0.597067381
GPCR,Are these residues conserved and significantly part of certain structural elements?,0.719004548,0.862574045,0.815265419,0.619402536,0,0.703456889
GPCR,Are there significant rearrangements in the process of activation?,0.641231404,0.204337377,0.40289114,0,0.823969928,0.659987886
GPCR,Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?,0.917833365,0.921601976,0,0.911403409,0.725103874,0.947615011
GPCR,What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?,0.830909471,0.785653254,0.873961025,0.693885596,0.9240918,0.723523674
GPCR,Is there any preference for the phosphorylation of regions in receptors?,0.753126285,0.067715995,0.556926205,0.077439065,0,0.445982504
GPCR,How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?,0.631976484,0.545713274,0.487537733,0.483001149,,0.704995244
GPCR,"Is there the existence of a ""selectivity barcode"" on each of the 16 human G proteins for GPCR binding?",0.56729549,0.843847595,0.575625037,0.619623988,0.595071453,0.650867366
GPCR,Which residue positions in the barcode are universally conserved? ,0.483568254,0,0,0,0,0
GPCR,How GPCRs recognize G-protein barcodes?,0.997111751,0.465802718,0.632148115,0.661590719,0.997111751,0.514914624
GPCR,What is the over model for the GPCR-G protein interaction selectivities?,0.573018427,0.519176348,0.680507486,0.524200665,0.754160587,0.68666669
GPCR,Is there a selectivity bar code in RGS for GPCR binding?,0.329084214,0.317786414,0.732186986,0.489761776,0,0.393955747
GPCR,What is the structural preference for selectivity barcode residues of RGS?,0.684107271,0,0.561483743,0.523995574,0.959176493,0.597606581
GPCR,How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?,0.646471766,0.976052922,0.702458184,0.852331878,0.743370678,0.626724373
GPCR,What is the overall mechanism for RGS-Galpha-based signaling?,0.669438572,,1,,0.587400762,1
GPCR,What is the mechanism through which the sensor works?,0.605657044,,0.605657044,,0,0.836875636
GPCR,In which cell lines did the sensor give predicted or unexpected results?,0.532414486,0,0,0,0.857963797,0
GPCR,How were unexpected results validated? Which orthogonal assays were used?,0,0.40164445,0,0,0,0.493888271
GPCR,What is the sequence of G protein activation steps?,0.871623851,0,0.929547763,0.869201524,0.882505878,0.803740287
GPCR,Summarize what is happening with GPCR during G protein activation?,0.74594027,0.885341386,0.921979958,0.883470916,0.799186153,0.62972332
GPCR,Which technologies were used to measure G protein activation?,0.99107337,0.984510626,0.984510626,0.984510626,0.99628538,0.977717377
GPCR,What is the difference between cell surface membrane signaling and endosomal signaling?,0.662118419,0.251725171,0.980995012,0.561494094,0.980995012,0.980290646
GPCR,Which sensors or assays can be used to explain different compartmentalization of signaling?,0.506694715,0.780711569,0.21683404,0.89796395,0,0.531449439
GPCR,How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?,0.809128845,,0.094933267,,0.892010777,0.823191843
GPCR,"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",0,0,0,0.844546211,0.989397249,0.639499952
GPCR,Which regions of GPCR modulate ligand efficacy and which potency?,0.699545698,0.475804393,0.507838134,0.5315998,0.837007975,0.525812755
GPCR,How do human and mouse TAAR1 differentiate between different ligands?,0.699850574,0.720947511,0.798245033,0.796710796,0.833286352,1
GPCR,What is the basis of polypharmacology on TAAR1 receptors?,0.94275545,1,0.94275545,1,1,0.902617518
GPCR,Do different ligands on the TAAR1 receptor induce different G protein signaling?,,0.588477622,0.961835805,0.748983176,0.59275004,0.600799066
GPCR,In which physiological or pathophysiological processes is TAAR1 signaling active?,0.720750519,0.914238312,0.812204535,0.931485522,0.709612215,0.757453106
GPCR,How are GPCR and kinase signaling connected?,0.531084397,0.716951191,,0.745100232,0.570468209,0.740871729
GPCR,Which studies and how identified crosstalk between the GPCR and kinase signaling?,0.532507688,0.670991125,0.490657709,0.961293882,0.9487637,0.741829635
GPCR,In which therapeutic areas we could target RTK/GPCR crosstalk?,0.411797598,0.490052517,0.962988265,0.48383407,0.259012544,0.937694367
GPCR,What is the mechanism of GPCR-related gene transcription? ,0.86634067,1,0,0,0,0
GPCR,Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,,0.63333001,0,0.43269029,0,0.744226534
GPCR,What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.572554404,0.341898408,0.4326938,0.605213518,0,0.572554404
GPCR,What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0,0.429688885,0.644299274,0.463162147,0,0.429307412
GPCR,Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.440535697,0.185572808,0.485302481,0.351992176,0,0.45818791
GPCR,How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0,0.385091645,0,0.384795549,0,0
GPCR,Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.639228131,0.827120034,0.388052433,0.651320891,0.594502107,0
GPCR,Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.521383707,0.489888824,0.473803726,0.473803726,0.526165343,0.473803726
GPCR,How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.392322209,0,0.433330525,0,0.861433245,
GPCR,Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.862548114,0.79876404,0.319468793,0.79876404,0.804657328,0.79876404
GPCR,Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.493050747,0.516116395,0.488705242,0.51357483,0.523836892,0.570053984
GPCR,How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.361111125,0,0.5858306,0,0,0.734257419
GPCR,Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.608558014,0.682990807,0,0.720439312,,0
GPCR,Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.443376125,0.492934896,0,0.493048457,0,0.506434076
GPCR,What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0,0.491323394,0,0,0,0.253225756
GPCR,What are the key capabilities and features of the G-protein activity biosensors?,1,1,,0.991624046,1,1
GPCR,What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?,0.702286978,0,0.569852083,,0.696521532,0.538134877
GPCR,How does the expression level of the biosensors impact normal G-protein signaling? ,0.954326843,0.938616755,0.775265506,0.831613808,0.833722105,0.891963042
GPCR,Does levels of biosensor expression interfere with downstream signaling pathways?,0.832534139,0.596007229,0.951457862,0.426381067,0.998950629,0.731611208
GPCR,Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?,0,0,0.771397425,0,0,0.419068548
GPCR,What is the CRISPR-coupled GPCR ChaCha system? ,1,0.571569349,1,0.559398073,0.697707929,0.888983075
GPCR,What ligands can activate the CRISPR ChaCha systems?,0.988074734,0.937138532,0.887337203,0.837637342,0.945879114,0.862144538
GPCR,What advantages does the ChaCha system offer over the Tango architecture? ,0.993324835,0.993324835,0.993324835,0.993324835,0,0.993324835
GPCR,What are the limitations of the CRISPR ChaCha system? ,0.936512868,0,0.994544152,0.98618027,0.982743864,0.98618027
GPCR,Which other systems can CRISPR ChaCha be applied to?,0.710145923,0.411753834,0.642150004,0.436089006,0.414011382,0.563888937
Kinases,What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?,0.977805189,0.976290731,0.977805189,0.992428869,0.96925519,0.992630407
Kinases,List all the FGFR mutations that were used in the experiments.,0.91627117,0.580084635,0.900931621,0.813565414,0,0.927937243
Kinases,Which FGFR2 mutant has the lowest substrate phosphorylation activity?,,0.93074245,0,1,0.333081583,0
Kinases,"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",0.539326142,0,0,0,0,0
Kinases,"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",0.855261655,0.954039043,0.957204898,0.958787826,0.952420263,0.954039043
Kinases,"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",0.683258758,,0.849042255,,,0.944967465
Kinases,What things can affect the interaction between FGFR2 and SHP2?,0.978634932,0.978634932,0.978634932,0.978634932,0.978634932,0.978634932
Kinases,How can be the FGFR2-SHP2 interaction affected?,0.92121868,0.981861648,0.741679897,0.986389233,0.566450951,0.741845621
Kinases,What is the difference between a canonical and non-canonical SH2 domain interaction?,0.74819919,0.900755002,,0.673558497,0,0.634509022
Kinases,Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ,0.490709126,0.947058538,0.433884173,0.612474855,0.365127854,0.911910443
Kinases,Does regulatory domain inhibit PAK4?,0.695777192,0.695777192,0.635143753,0.719074941,0.513534688,0.73697788
