mygpt_question_id,question_type,Library,Evaluator
1,yes/no,GPCR,BS
2,data_query,GPCR,BS
3,data_query,GPCR,BS
4,yes/no,GPCR,BS
5,complex_question,GPCR,BS
6,complex_question,GPCR,BS
7,complex_question,GPCR,BS
8,complex_question,GPCR,BS
9,yes/no,GPCR,BS
10,data_query,GPCR,BS
11,summarization,GPCR,BS
12,summarization,GPCR,BS
13,complex_question,GPCR,BS
14,summarization,GPCR,BS
15,complex_question,GPCR,BS
16,complex_question,GPCR,BS
17,summarization,GPCR,KN
18,data_query,GPCR,KN
19,complex_question,GPCR,KN
20,data_query,GPCR,KN
21,summarization,GPCR,KN
22,data_query,GPCR,KN
23,summarization,GPCR,KN
24,data_query,GPCR,KN
25,complex_question,GPCR,KN
26,data_query,GPCR,KN
27,data_query,GPCR,KN
28,complex_question,GPCR,KN
29,complex_question,GPCR,KN
30,yes/no,GPCR,KN
31,data_query,GPCR,KN
32,complex_question,GPCR,KN
33,data_query,GPCR,KN
34,summarization,GPCR,KN
36,summarization,GPCR,KN
37,data_query,GPCR,VTG
38,data_query,GPCR,VTG
39,data_query,GPCR,VTG
41,yes/no,GPCR,VTG
42,data_query,GPCR,VTG
43,summarization,GPCR,VTG
44,data_query,GPCR,VTG
45,data_query,GPCR,VTG
46,data_query,GPCR,VTG
47,data_query,GPCR,VTG
48,data_query,GPCR,VTG
49,data_query,GPCR,VTG
50,yes/no,GPCR,VTG
51,data_query,GPCR,VTG
52,summarization,GPCR,VTG
53,summarization,GPCR,VTG
54,complex_question,GPCR,VTG
55,yes/no,GPCR,VTG
56,yes/no,GPCR,VTG
57,keyword,GPCR,VTG
58,data_query,GPCR,VTG
59,summarization,GPCR,VTG
60,summarization,GPCR,VTG
61,data_query,GPCR,VTG
62,summarization,Kinase,KP
63,data_query,Kinase,KP
64,data_query,Kinase,KP
65,yes/no,Kinase,KP
66,summarization,Kinase,KP
67,data_query,Kinase,KP
68,complex_question,Kinase,KP
69,complex_question,Kinase,KP
70,summarization,Kinase,KP
72,summarization,Kinase,KP
73,yes/no,Kinase,KP
74,data_query,Kinase,KP
75,data_query,Kinase,KP
76,data_query,Kinase,KP
77,summarization,Kinase,KP
78,summarization,Kinase,KP
79,data_query,Kinase,KP
80,data_query,Kinase,KP
81,data_query,Kinase,KP
82,yes/no,Kinase,PB
83,yes/no,Kinase,PB
84,yes/no,Kinase,PB
85,summarization,Kinase,PB
86,data_query,Kinase,PB
87,data_query,Kinase,PB
88,keyword,Kinase,PB
90,complex_question,Kinase,PB
91,complex_question,Kinase,PB
92,summarization,Kinase,PB
93,data_query,Kinase,PB
95,summarization,Kinase,PB
96,summarization,Kinase,PB
97,summarization,Kinase,PB
98,summarization,Kinase,PB
99,complex_question,Kinase,PB
100,summarization,Kinase,PB
101,summarization,Kinase,PB
102,summarization,Kinase,DM
103,summarization,Kinase,DM
104,summarization,Kinase,DM
105,keyword,Kinase,DM
106,complex_question,Kinase,DM
107,summarization,Kinase,DM
108,complex_question,Kinase,DM
109,complex_question,Kinase,DM
110,summarization,Kinase,DM
111,summarization,Kinase,DM
114,complex_question,Kinase,DM
116,complex_question,Kinase,DM
117,yes/no,Kinase,DM
118,complex_question,Kinase,DM
119,complex_question,Kinase,DM
120,summarization,Kinase,DM
121,complex_question,Kinase,DM
124,data_query,CAR-T,KI
125,data_query,CAR-T,KI
126,complex_question,CAR-T,KI
127,summarization,CAR-T,KI
128,yes/no,CAR-T,KI
136,summarization,CAR-T,KI
146,keyword,CAR-T,BLJ
150,data_query,CAR-T,BLJ
151,summarization,CAR-T,BLJ
152,complex_question,CAR-T,BLJ
154,complex_question,CAR-T,BLJ
155,summarization,CAR-T,BLJ
156,summarization,CAR-T,BLJ
157,data_query,CAR-T,BLJ
159,data_query,CAR-T,BLJ
160,data_query,CAR-T,BLJ
161,complex_question,CAR-T,BLJ
163,summarization,CAR-T,BLJ
164,complex_question,CAR-T,BLJ
166,complex_question,CAR-T,BLJ
168,summarization,CAR-T,BLJ
169,complex_question,CAR-T,BLJ
170,keyword,CAR-T,VKC
171,data_query,CAR-T,VKC
172,data_query,CAR-T,VKC
173,data_query,CAR-T,VKC
174,data_query,CAR-T,VKC
175,data_query,CAR-T,VKC
176,data_query,CAR-T,VKC
177,data_query,CAR-T,VKC
178,summarization,CAR-T,VKC
179,complex_question,CAR-T,VKC
180,complex_question,CAR-T,VKC
181,summarization,CAR-T,VKC
182,complex_question,CAR-T,VKC
183,summarization,CAR-T,VKC
184,summarization,CAR-T,VKC
185,complex_question,CAR-T,VKC
186,summarization,CAR-T,VKC
187,summarization,CAR-T,VKC
188,summarization,CAR-T,VKC
189,summarization,CAR-T,VKC
190,summarization,CAR-T,VKC
191,keyword,IDR,BM
192,summarization,IDR,BM
193,yes/no,IDR,BM
194,data_query,IDR,BM
195,complex_question,IDR,BM
196,irrelevant question,IDR,BM
197,complex_question,IDR,BM
198,keyword,IDR,BM
199,summarization,IDR,BM
200,yes/no,IDR,BM
201,data_query,IDR,BM
202,complex_question,IDR,BM
203,irrelevant question,IDR,BM
204,complex_question,IDR,BM
205,keyword,IDR,BM
206,summarization,IDR,BM
207,yes/no,IDR,BM
208,data_query,IDR,BM
209,complex_question,IDR,BM
210,irrelevant question,IDR,BM
211,complex_question,IDR,BM
212,keyword,IDR,BM
213,summarization,IDR,BM
214,yes/no,IDR,BM
215,data_query,IDR,BM
216,complex_question,IDR,BM
217,irrelevant question,IDR,BM
218,complex_question,IDR,BM
219,keyword,IDR,BM
220,summarization,IDR,BM
221,yes/no,IDR,BM
222,data_query,IDR,BM
223,complex_question,IDR,BM
224,irrelevant question,IDR,BM
225,complex_question,IDR,BM
226,keyword,IDR,BM
227,summarization,IDR,BM
228,yes/no,IDR,BM
229,data_query,IDR,BM
230,complex_question,IDR,BM
231,irrelevant question,IDR,BM
232,complex_question,IDR,BM
233,keyword,IDR,BM
234,summarization,IDR,BM
235,yes/no,IDR,BM
236,data_query,IDR,BM
237,complex_question,IDR,BM
238,irrelevant question,IDR,BM
239,complex_question,IDR,BM
240,keyword,IDR,BM
241,summarization,IDR,BM
242,yes/no,IDR,BM
243,data_query,IDR,BM
244,complex_question,IDR,BM
245,irrelevant question,IDR,BM
246,complex_question,IDR,BM
247,keyword,PTM,BL
248,keyword,PTM,BL
249,keyword,PTM,BL
250,data_query,PTM,BL
