question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic,pubmed-bert
What is a KID domain?,0.047619048,0.173913043,0.238095238,0.130434783,0.333333333,0.277777778,0.5
"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",0.085714286,0.069767442,0.142857143,0.069767442,0.19047619,0.208333333,0.1875
Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?,0.214285714,0.02173913,0.137931034,0.02173913,0.25,0.148148148,0.02083333
How long is the peptide required to bind to eIF4E?,0.076923077,0.076923077,0.058823529,0.076923077,0.333333333,0.25,0.05263158
What does the structure-function paradigm state and why does it need to be re-assessed?,0.210526316,0.176470588,0.692307692,0.235294118,0.333333333,0.714285714,0.09375
What is the function of the disordered regions of myoglobin?,0.023809524,0.015625,0.055555556,0.015625,0.571428571,0.307692308,0.33333333
Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ,0.230769231,0.043478261,0.05,0.043478261,0.333333333,0.285714286,0.29411765
What is a molten globue?,0.307692308,0.135135135,0.083333333,0.135135135,0.222222222,0.333333333,0.02777778
List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.,0.073170732,0.078947368,0.214285714,0.078947368,0.6,0.054545455,0.1875
Is the NCBD domain of CBP folded or disordered?,0.272727273,0.111111111,0.5,0.037037037,0.333333333,0.416666667,0.41666667
Where are the leukaemia-related breakpoints located in CBP/p300?,0.071428571,0.022222222,0.024390244,0.022222222,0.333333333,0.230769231,0.08333333
What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?,0.076923077,0.051724138,0.166666667,0.051724138,0.75,0.142857143,0.18181818
What is the role of the disordered protein HMGA1?,0.272727273,0.093023256,0.307692308,0.093023256,0.125,0.384615385,0.04347826
What biological roles can disordered proteins fulfill thanks to their structural properties?,0.076923077,0.01754386,0.185185185,0.01754386,0.333333333,0.181818182,0.1875
What is a nanny protein?,0.05,0.01010101,0.058823529,0.01010101,0,0.121212121,0.2
"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",0.25,0.19047619,0.3125,0.142857143,0.375,0.210526316,0.25
Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?,0.107142857,0.125,0.307692308,0.041666667,0.428571429,0.222222222,0.05555556
Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?,0.027027027,0.0625,0.176470588,0.0625,0.5,0.033333333,0.17647059
Why do IDPs have unique regulatory mechanisms compared to folded proteins?,0.294117647,0.357142857,0.416666667,0.357142857,0.363636364,0.533333333,0.22222222
What is the effect of targeting the DEP domain of Dishevelled with peptides?,0.071428571,0.214285714,0.055555556,0.214285714,0.333333333,0.035714286,0.15789474
The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!,0.06122449,0.2,0.1875,0.2,0.333333333,0.368421053,0.09375
What is ELM?,0.071428571,0.033333333,0.19047619,0.033333333,0.034482759,0.235294118,0.23529412
What are the main attributes of short linear motifs?,0.235294118,0.166666667,0.2,0.166666667,0.037037037,0.235294118,0.1875
Is the motif LIG_PCNA present in archaea?,0.083333333,0.066666667,0.285714286,0.066666667,0.047619048,0.2,0.30769231
What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?,0.15625,0.125,0.111111111,0.125,0.8,0.117647059,0.03846154
"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",0.047619048,0.027027027,0.2,0.027027027,0.333333333,0.238095238,0.23076923
What are degradation motifs (degrons)?,0.176470588,0.058823529,0.133333333,0.058823529,0.037037037,0.222222222,0.26666667
Why is it biologically important that motifs are commonly found in unstructred parts of proteins?,0,0,0.102564103,0,0.25,0.04,0.06666667
What are PTMs?,0.260869565,0.235294118,0.25,0.294117647,0.25,0.307692308,0.27777778
List the main factors that can initiate the transition of a protein between a folded and an unfolded state?,0.2,0.176470588,0.078947368,0.176470588,0.428571429,0.277777778,0.27272727
Can interactions with a small molecule unfold a protein?,0.0625,0.363636364,0.16,0.363636364,0.333333333,0.291666667,0.46666667
How much surface area is buried during the dimerization of HdeA?,0.1875,0.1875,0.1875,0.1875,0.25,0.1875,0.17647059
What are the main differences between passive and active factors that can induce the unfolding of proteins?,0.193548387,0.269230769,0.238095238,0.269230769,0.25,0.238095238,0.3
What induces the unfolding of the cytoplasmic tails of integrins?,0.071428571,0.176470588,0.157894737,0.176470588,0.25,0.115384615,0.07142857
What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?,0.069767442,0.129032258,0.069767442,0.129032258,0.2,0.208333333,0.29411765
What is an NLS?,0.5,0.25,0.090909091,0.25,0,0.105263158,0.07692308
Give a summary of the main functions of short liear motifs in the human proteome!,0.266666667,0.12,0.529411765,0.12,0.142857143,0.176470588,0.35714286
Do human phosphorylation sites predominantly reside in ordered regions of proteins?,0.136363636,0.0625,0.210526316,0.25,0.25,0.117647059,0.30769231
How many motifs are estimated to exist in the human proteome?,0.352941176,0.3125,0.2,0.3125,0.090909091,0.2,0.41176471
How do different motifs play a role in the general function of various proteins?,0.25,0.545454545,0.3125,0.545454545,0.25,0.25,0.11111111
What are the motifs present in human CBP?,0.166666667,0.181818182,0.333333333,0.181818182,0.333333333,0.357142857,0.33333333
What is the effect that the presence of a motif exerts on the fate of the full protein?,0.038461538,0.0625,0.052631579,0.0625,0.25,0.214285714,0.07692308
What are RHIM sequences?,0.029411765,0.083333333,0.027777778,0.083333333,0.222222222,0.055555556,0.03571429
What are the key ways in which post-translational modifications regulate disordered proteins?,0.210526316,0.065217391,0.12,0.065217391,0.75,0.294117647,0.2
Does p120 catenin regulate cell adhesion?,0.023255814,0.075,0.088235294,0.075,0.25,0.4,0.03846154
What signaling is affected by MSI-1436?,0.093023256,0.008474576,0.083333333,0.008474576,0.018518519,0.2,0.05882353
What are the special biophysical and cellular features of how disordered proteins interact with their partners?,0.02173913,0.09375,0.028571429,0.09375,0.333333333,0.2,0.375
How is the binding of the LAT protein regulated?,0.047619048,0.026315789,0.666666667,0.026315789,0.041666667,0.052631579,0.07692308
"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.181818182,0.121212121,0.028571429,0.121212121,0.333333333,0.2,0.44444444
What is CALVADOS?,0.19047619,0.029411765,0.03125,0.029411765,0,0.066666667,0.03571429
What are the main steps to computationally generating conformational ensembles of disordered proteins?,0.023255814,0.1,0.266666667,0.1,0.3,0.3,0.10344828
Are compact IDRs generally longer than extended IDRs?,0.166666667,0.285714286,0.272727273,0.285714286,0.166666667,0.027777778,0.15
How many disordered regions were identified in the human proteome?,0.055555556,0.055555556,0.055555556,0.055555556,0.083333333,0.052631579,0.04545455
What are the effects of the compaction of disordered proteins on their biological functions?,0.038961039,0.025,0.15,0.075,0.571428571,0.142857143,0.28571429
What is the compaction of human p53?,0.019607843,0.015625,0.016949153,0.015625,0,0.03030303,0.01754386
How is the biological role of a disordered protein dependent on the degree to which it has a compact overall structure?,0.018181818,0.016393443,0.025,0.016393443,0.333333333,0.041666667,0.04
What is CoA?,0.2,0.1,0.125,0.066666667,0.2,0.16,0.04761905
What is acetyl-CoA?,0.294117647,0.153846154,0.081081081,0.153846154,0.024390244,0.3,0.26315789
What is succinyl-CoA?,0.214285714,0.307692308,0.230769231,0.307692308,0.428571429,0.153846154,0.4
What reactions does SIRT5 catalyze?,0.153846154,0.3,0.25,0.25,0.166666667,0.45,0.18181818
What is lysine acylation?,0.307692308,0.333333333,0.19047619,0.333333333,0.5,0.25,0.23529412
What is lysine acetylation?,0.142857143,0.25,0.142857143,0.25,0.148148148,0.277777778,0.26315789
"Where, within cells, is succinyl-CoA found?",0.208333333,0.25,0.4,0.25,0.333333333,0.4,0.55555556
What species is succinyl-CoA found in?,0.259259259,0.026315789,0.130434783,0.026315789,0.083333333,0.052631579,0.33333333
What processes do lysine acylations regulate?,0.166666667,0.157894737,0.157894737,0.157894737,0.6,0.04,0.16666667
"Where, within proteins, does lysine acetylation happen?",0.088235294,0.2,0.021276596,0.15,0.071428571,0.025641026,0.2
Are there lysine acylation reader domains in bacteria?,0.15,0.055555556,0.047619048,0.055555556,0.363636364,0.052631579,0.16666667
What lysine acylation reader domains are known in mammals?,0.136363636,0.05,0.125,0.2,0.571428571,0.173913043,0.2
"What enzymes succinylate lysines outside of mitochondria, and where does their succinyl-CoA come from?",0.235294118,0.166666667,0.227272727,0.166666667,0,0.291666667,0.17857143
"What PTM does succinylation overlap with, and to what percentage?",0.176470588,0.272727273,0,0.272727273,0.2,0,0.07142857
What evidence is there for demalonylation by SIRT5?,0.119047619,0.09375,0.5,0.09375,0.133333333,0.166666667,0.19047619
