question,context_relevancy_snowflake,context_relevancy_nomic,context_relevancy_pubmed_bert,context_relevancy_qa-cos,context_relevancy_mini-l6
What is a KID domain?,0.333333333,0.277777778,0.533333333,0.047619048,0.238095238
"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",0.8,0.125,0.3125,0.085714286,0.142857143
Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?,0.028571429,0.148148148,0.020833333,0.214285714,0.137931034
How long is the peptide required to bind to eIF4E?,0.015151515,0.25,0.052631579,0.076923077,0.058823529
What does the structure-function paradigm state and why does it need to be re-assessed?,0.2,0.214285714,0.027777778,0.210526316,0.692307692
What is the function of the disordered regions of myoglobin?,0.037037037,0.384615385,0.333333333,0.023809524,0.055555556
Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ,0.00990099,0.285714286,0.294117647,0.230769231,0.05
What is a molten globue?,0.009708738,0.333333333,0.027777778,0.307692308,0.083333333
List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.,0.075,0.054545455,0.1875,0.073170732,0.214285714
Is the NCBD domain of CBP folded or disordered?,0.017857143,0.416666667,0.5,0.272727273,0.5
Where are the leukaemia-related breakpoints located in CBP/p300?,0.018518519,0.230769231,0.083333333,0.071428571,0.024390244
What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?,0.5,0.142857143,0.181818182,0.076923077,0.166666667
What is the role of the disordered protein HMGA1?,0.2,0.538461538,0.235294118,0.272727273,0.307692308
What biological roles can disordered proteins fulfill thanks to their structural properties?,0.5,0.5,0.136363636,0.076923077,0.185185185
What is a nanny protein?,0.011494253,0.090909091,0.2,0.05,0.058823529
"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",0.8,0.210526316,0.1875,0.25,0.3125
Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?,0.03030303,0.222222222,0.055555556,0.107142857,0.307692308
Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?,0.025,0.033333333,0.176470588,0.027027027,0.176470588
Why do IDPs have unique regulatory mechanisms compared to folded proteins?,0.571428571,0.466666667,0.166666667,0.294117647,0.416666667
What is the effect of targeting the DEP domain of Dishevelled with peptides?,0.006896552,0.035714286,0.157894737,0.071428571,0.055555556
The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!,0.75,0.368421053,0.09375,0.06122449,0.1875
What is ELM?,0.041666667,0.235294118,0.071428571,0.071428571,0.19047619
What are the main attributes of short linear motifs?,0.375,0.235294118,0.75,0.235294118,0.2
Is the motif LIG_PCNA present in archaea?,0.014285714,0.2,0.307692308,0.083333333,0.285714286
What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?,0.005747126,0.147058824,0.038461538,0.15625,0.111111111
"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",0.009174312,0.047619048,0.230769231,0.047619048,0.2
What are degradation motifs (degrons)?,0.045454545,0.222222222,0.266666667,0.176470588,0.133333333
Why is it biologically important that motifs are commonly found in unstructred parts of proteins?,0.375,0.04,0.066666667,0,0.102564103
What are PTMs?,0.2,0.307692308,0.222222222,0.260869565,0.25
List the main factors that can initiate the transition of a protein between a folded and an unfolded state?,0.027027027,0.277777778,0.272727273,0.2,0.078947368
Can interactions with a small molecule unfold a protein?,0.027027027,0.25,0.466666667,0.0625,0.16
How much surface area is buried during the dimerization of HdeA?,0.2,0.1875,0.176470588,0.1875,0.1875
What are the main differences between passive and active factors that can induce the unfolding of proteins?,0.018518519,0.238095238,0.3,0.193548387,0.238095238
What induces the unfolding of the cytoplasmic tails of integrins?,0.007692308,0.153846154,0.071428571,0.071428571,0.157894737
What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?,0.009009009,0.208333333,0.294117647,0.069767442,0.069767442
What is an NLS?,0.2,0.105263158,0.076923077,0.5,0.090909091
Give a summary of the main functions of short liear motifs in the human proteome!,0.5,0.176470588,0.357142857,0.266666667,0.529411765
