library,Evaluator,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic,pubmed_bert
IDR,BM,What is a KID domain?,0.809582756,0.804599474,0.849950437,0.789278924,0.731006647,0.845259588,0.780595089
IDR,BM,"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",0.873038002,0.832452785,0.793656602,0.848868167,0.789874557,0.793912773,0.768465429
IDR,BM,Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?,0.958745237,0.959124207,0.958367885,0.965994191,0.793284659,0.953784475,0.956570414
IDR,BM,How long is the peptide required to bind to eIF4E?,0.73768218,0.749092116,0.684058005,0.778123367,0.719904673,0.625415472,0.680845615
IDR,BM,What does the structure-function paradigm state and why does it need to be re-assessed?,0.877656294,0.899785011,0.915846167,0.911547783,0.781767477,0.879787088,0.835665088
IDR,BM,What is the function of the disordered regions of myoglobin?,0.783604889,0.685510857,0.830504974,0.727445568,0.750454505,0.790525854,0.801412511
IDR,BM,Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ,0.830450899,0.669713351,0.82663003,0.757208821,0.820380995,0.836480308,0.736758462
IDR,BM,What is a molten globue?,0.941380374,0.904125651,0.912751173,0.944468328,0.775118051,0.927194831,0.929047634
IDR,BM,List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.,0.933786985,0.929228347,0.878838456,0.904663492,0.901761863,0.907278967,0.935700435
IDR,BM,Is the NCBD domain of CBP folded or disordered?,0.671808383,0.711577782,0.737066906,0.707043185,0.72889911,0.777504045,0.776556627
IDR,BM,Where are the leukaemia-related breakpoints located in CBP/p300?,0.585081181,0.590541686,0.614434244,0.54269784,0.621166799,0.802860314,0.63538568
IDR,BM,What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?,0.800302693,0.838464198,0.738827232,0.839196106,0.664397006,0.762277405,0.768493045
IDR,BM,What is the role of the disordered protein HMGA1?,0.693222244,0.701895322,0.670303277,0.722202226,0.646097535,0.731882583,0.753860034
IDR,BM,What biological roles can disordered proteins fulfill thanks to their structural properties?,0.696157314,0.85686504,0.858476256,0.848402135,0.687656588,0.868410693,0.714038676
IDR,BM,What is a nanny protein?,0.88974553,0.922290252,0.842038716,0.877278659,0.834411989,0.847988552,0.850163303
IDR,BM,"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",0.828013922,0.7824378,0.876593939,0.813103777,0.885471572,0.891863783,0.861743248
IDR,BM,Is the tight regulation of dosage-sensitive genes linked to avoiding detrimental abundance of proteins?,0.902693377,0.926120176,0.933782719,0.92092566,0.781082714,0.951604709,0.92646682
IDR,BM,Which IDP-phosphorylating kinase is regulated in a cell cycle dependent manner?,0.850981895,0.687796475,0.849874747,0.79611425,0.848391744,0.994154265,0.767773146
IDR,BM,Why do IDPs have unique regulatory mechanisms compared to folded proteins?,0.929895607,0.903020516,0.911677298,0.911856959,0.924622903,0.804953908,0.86652943
IDR,BM,What is the effect of targeting the DEP domain of Dishevelled with peptides?,0.629298899,0.624926706,0.656669363,0.649428779,0.648365259,0.603868721,0.732143975
IDR,BM,The regulation of disordered proteins is characteristically different from that of ordered ones; explain the reasons for this!,0.891275262,0.792451379,0.919296961,0.789710291,0.806647779,0.88118925,0.875741775
IDR,BM,What is ELM?,0.91497993,0.914857099,0.916464025,0.900870748,0.615789615,0.891975283,0.917066462
IDR,BM,What are the main attributes of short linear motifs?,0.796550424,0.795728845,0.801634372,0.802143082,0.859199704,0.880929013,0.838692891
IDR,BM,Is the motif LIG_PCNA present in archaea?,0.702036551,0.734416627,0.697464183,0.736763067,0.779316438,0.685531946,0.714854653
IDR,BM,What is the difference in charge and hydrophobicity between disordered proteins in general and Ligand motif instances?,0.673893746,0.668884052,0.829016089,0.796572899,0.642541817,0.827258344,0.743954657
IDR,BM,"Why do short linear motifs typically reside in disordered protein regions, and what are the biological consequences of this?",0.67269299,0.956250156,0.90083996,0.953204628,0.68240915,0.913826074,0.944751618
IDR,BM,What are degradation motifs (degrons)?,0.95844666,0.78367561,0.860522022,0.752355147,0.899044352,0.796136685,0.945265533
IDR,BM,Why is it biologically important that motifs are commonly found in unstructred parts of proteins?,0.743319635,0.824381013,0.847766468,0.764935377,0.764240319,0.634778272,0.788067819
IDR,BM,What are PTMs?,0.806109175,0.808456745,0.78089478,0.850051663,0.222745615,0.859601437,0.840094698
IDR,BM,List the main factors that can initiate the transition of a protein between a folded and an unfolded state?,0.916408832,0.884386924,0.910331039,0.908701056,0.918844512,0.900054442,0.893057572
IDR,BM,Can interactions with a small molecule unfold a protein?,0.796846348,0.896474979,0.894292467,0.884905855,0.892541095,0.871924655,0.875785751
IDR,BM,How much surface area is buried during the dimerization of HdeA?,0.983114042,0.971105934,0.96392904,0.983114042,0.824025848,0.856633639,0.96392904
IDR,BM,What are the main differences between passive and active factors that can induce the unfolding of proteins?,0.84282134,0.848139724,0.633524059,0.848739724,0.715674412,0.871126788,0.873033104
IDR,BM,What induces the unfolding of the cytoplasmic tails of integrins?,0.73321771,0.847140093,0.691519676,0.844057584,0.765270959,0.749548041,0.760104898
IDR,BM,What is the basis of differentiating two kinds of factors that can change the structural states of conditionally unfolded proteins?,0.895095562,0.928676959,0.705223406,0.9274105,0.683185576,0.912464579,0.697575136
IDR,BM,What is an NLS?,0.860495024,0.726993121,0.764032271,0.582206402,0.854896899,0.776598346,0.809694047
IDR,BM,Give a summary of the main functions of short liear motifs in the human proteome!,0.59588631,0.847893372,0.57212284,0.866573207,0.8812183,0.586448534,0.902979421
IDR,BM,Do human phosphorylation sites predominantly reside in ordered regions of proteins?,0.928218971,0.915200189,0.891473241,0.915200189,0.757968492,0.935262045,0.923286836
IDR,BM,How many motifs are estimated to exist in the human proteome?,0.660656232,0.669085287,0.694564938,0.669085287,0.659055147,0.647797672,0.669947847
IDR,BM,How do different motifs play a role in the general function of various proteins?,0.932560268,0.872476282,0.919092589,0.881270517,0.470276426,0.896618467,0.773414793
IDR,BM,What are the motifs present in human CBP?,0.63133899,0.647449534,0.818965276,0.541508295,0.80445642,0.608087679,0.644978113
IDR,BM,What is the effect that the presence of a motif exerts on the fate of the full protein?,0.889574762,0.803393273,0.580456588,0.809294126,0.710362909,0.823871228,0.877184217
IDR,BM,What are RHIM sequences?,0.620384157,0.652503726,0.595725075,0.595917313,0.741476803,0.695777342,0.722207115
IDR,BM,What are the key ways in which post-translational modifications regulate disordered proteins?,0.805216507,0.769614413,0.842557021,0.90516154,0.86925626,0.876856593,0.916268417
IDR,BM,Does p120 catenin regulate cell adhesion?,0.96476065,0.908874297,0.908844219,0.910738484,0.869974345,0.910738484,0.908874297
IDR,BM,What signaling is affected by MSI-1436?,0.937160119,0.652464267,0.582083282,0.622419966,0.630663334,0.910919385,0.617074741
IDR,BM,What are the special biophysical and cellular features of how disordered proteins interact with their partners?,0.927223493,0.729959099,0.676217069,0.711873981,0.804104969,0.904895056,0.721552962
IDR,BM,How is the binding of the LAT protein regulated?,0.642471651,0.736108967,0.625273272,0.676163805,0.559334909,0.541340951,0.593075889
IDR,BM,"In a physical and biological sense, what makes the protein-protein interaction modes of disordered proteins special?",0.907024903,0.867647554,0.872837427,0.884974561,0.819553106,0.880446604,0.746139413
IDR,BM,What is CALVADOS?,0.962708004,0.807917079,0.713300617,0.894842082,0.584292185,0.556185698,0.738660195
IDR,BM,What are the main steps to computationally generating conformational ensembles of disordered proteins?,0.944010752,0.773092704,0.822416894,0.804328522,0.901748161,0.813675262,0.928266064
IDR,BM,Are compact IDRs generally longer than extended IDRs?,0.772915587,0.775987913,0.831762544,0.831762544,0.84465808,0.832185087,0.719961366
IDR,BM,How many disordered regions were identified in the human proteome?,0.479053711,0.479053711,0.395963904,0.507961982,0.299435463,0.455101273,0.497536493
IDR,BM,What are the effects of the compaction of disordered proteins on their biological functions?,0.925834994,0.613204744,0.598736959,0.756949378,0.85682723,0.736158989,0.871672107
