question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0.554;0.593;0.691,0.61,1.11
"What are the residues and their contacts that contribute to the similarities in activation pathways?",0.605;0.662;0.696,0.65,1.11
"Are these residues conserved and significantly part of certain structural elements?",0.86;0.894;0.911,0.89,1.11
"Are there significant rearrangements in the process of activation?",0.999;1.02;1.04;1.096,1.04,1.11
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",0.424;0.492;0.554,0.49,1.11
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",0.367;0.411;0.495,0.42,1.11
"Is there any preference for the phosphorylation of regions in receptors?",0.978;0.981;1.003,0.99,1.11
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",0.689;0.709;0.712;0.72,0.71,1.11
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",0.354;0.493;0.583,0.48,1.11
"Which residue positions in the barcode are universally conserved? ",0.824;0.892;0.902,0.87,1.11
"How GPCRs recognize G-protein barcodes?",0.518;0.553;0.561;0.579;0.611;0.645,0.58,1.11
"What is the over model for the GPCR-G protein interaction selectivities?",0.633;0.647;0.662,0.65,1.11
"Is there a selectivity bar code in RGS for GPCR binding?",0.619;0.793;0.802;0.822;0.86,0.78,1.11
"What is the structural preference for selectivity barcode residues of RGS?",0.552;0.608;0.624;0.738,0.63,1.11
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",0.562;0.637;0.677,0.63,1.11
"What is the overall mechanism for RGS-Galpha-based signaling?",0.721;0.804;0.81,0.78,1.11
"What is the mechanism through which the sensor works?",1.038;1.104;1.116,1.09,1.11
"In which cell lines did the sensor give predicted or unexpected results?",1.031;1.041;1.045,1.04,1.11
"How were unexpected results validated? Which orthogonal assays were used?",1.043;1.091;1.133,1.09,1.11
"What is the sequence of G protein activation steps?",0.542;0.571;0.636,0.58,1.11
"Summarize what is happening with GPCR during G protein activation?",0.399;0.491;0.497;0.512;0.552,0.49,1.11
"Which technologies were used to measure G protein activation?",0.686;0.786;0.789,0.75,1.11
"What is the difference between cell surface membrane signaling and endosomal signaling?",1.013;1.03;1.048;1.115,1.05,1.11
"Which sensors or assays can be used to explain different compartmentalization of signaling?",0.841;0.886;0.91,0.88,1.11
"How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?",0.455;0.494;0.542,0.50,1.11
"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",0.601;0.649;0.672,0.64,1.11
"Which regions of GPCR modulate ligand efficacy and which potency?",0.624;0.631;0.661,0.64,1.11
"How do human and mouse TAAR1 differentiate between different ligands?",0.649;0.73;0.762;0.828,0.74,1.11
"What is the basis of polypharmacology on TAAR1 receptors?",0.652;0.712;0.76,0.71,1.11
"Do different ligands on the TAAR1 receptor induce different G protein signaling?",0.572;0.572;0.579;0.609;0.658,0.60,1.11
"In which physiological or pathophysiological processes is TAAR1 signaling active?",0.676;0.725;0.745;0.773;0.819,0.75,1.11
"How are GPCR and kinase signaling connected?",0.592;0.598;0.617,0.60,1.11
"Which studies and how identified crosstalk between the GPCR and kinase signaling?",0.51;0.575;0.645,0.58,1.11
"In which therapeutic areas we could target RTK/GPCR crosstalk?",0.496;0.659;0.664;0.697;0.75,0.65,1.11
"What is the mechanism of GPCR-related gene transcription? ",0.618;0.708;0.728,0.68,1.11
"Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",0.354;0.43;0.494,0.43,1.11
"What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",0.73;0.746;0.758,0.74,1.11
"What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",0.719;0.724;0.758,0.73,1.11
"Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",0.716;0.761;0.772;0.801,0.76,1.11
"How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.775;0.845;0.861;0.96,0.86,1.11
"Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.648;0.807;0.834;0.875,0.79,1.11
"Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.619;0.742;0.755,0.71,1.11
"How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.578;0.71;0.832,0.71,1.11
"Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.75;0.851;0.911,0.84,1.11
"Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.547;0.759;0.853,0.72,1.11
"How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.573;0.609;0.631;0.658,0.62,1.11
"Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.534;0.65;0.691,0.62,1.11
"Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.619;0.754;0.802,0.72,1.11
"What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",0.645;0.868;0.89,0.80,1.11
"What are the key capabilities and features of the G-protein activity biosensors?",0.654;0.666;0.688,0.67,1.11
"What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",0.45;0.56;0.589;0.618;0.792,0.60,1.11
"How does the expression level of the biosensors impact normal G-protein signaling? ",0.468;0.643;0.687,0.60,1.11
"Does levels of biosensor expression interfere with downstream signaling pathways?",0.682;0.839;0.88,0.80,1.11
"Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",0.461;0.504;0.601,0.52,1.11
"What is the CRISPR-coupled GPCR ChaCha system? ",0.476;0.487;0.521;0.616,0.53,1.11
"What ligands can activate the CRISPR ChaCha systems?",0.516;0.572;0.601,0.56,1.11
"What advantages does the ChaCha system offer over the Tango architecture? ",0.855;0.905;0.932;0.96;1.011;1.093,0.96,1.11
