question_id,question_type,best_1,best_2,mygpt_beta
1,yes/no,yes,yes,yes
2,data_query,yes,no,no
3,data_query,no,no,no
4,yes/no,yes,yes,yes
5,complex_question,yes,yes,yes
6,complex_question,yes,yes,yes
7,complex_question,yes,yes,yes
8,complex_question,yes,no,no
9,yes/no,yes,yes,yes
10,data_query,no,no,no
11,summarization,no,no,no
12,summarization,yes,yes,yes
13,complex_question,yes,yes,yes
14,summarization,yes,no,yes
15,complex_question,yes,yes,no
16,complex_question,no,no,no
17,summarization,no,no,yes
18,data_query,no,no,no
19,complex_question,no,no,no
20,data_query,yes,yes,yes
42,data_query,yes,yes,yes
21,summarization,yes,yes,yes
22,data_query,yes,no,yes
23,summarization,yes,no,no
24,data_query,no,no,yes
43,data_query,no,no,no
25,complex_question,yes,yes,no
26,data_query,no,no,no
27,data_query,no,no,yes
28,complex_question,no,no,no
29,complex_question,no,no,no
68,summarization,no,yes,yes
30,yes/no,yes,yes,yes
31,data_query,yes,yes,yes
32,complex_question,yes,yes,yes
33,data_query,no,no,yes
34,summarization,yes,yes,yes
35,summarization,no,no,yes
36,data_query,no,no,no
37,data_query,yes,yes,no
38,data_query,yes,yes,yes
39,yes/no,yes,yes,yes
40,data_query,no,no,yes
41,summarization,no,no,no
44,data_query,yes,yes,yes
45,data_query,yes,no,no
46,data_query,no,no,no
47,data_query,yes,no,no
48,yes/no,yes,yes,no
49,data_query,no,no,no
50,summarization,yes,yes,no
51,summarization,yes,no,yes
59,data_query,no,no,no
52,complex_question,no,no,no
53,yes/no,no,no,yes
54,yes/no,no,yes,yes
55,keyword,yes,yes,no
56,data_query,yes,yes,no
57,summarization,yes,no,yes
58,summarization,no,no,yes
60,summarization,yes,yes,no
61,data_query,no,no,no
62,data_query,yes,no,no
63,yes/no,no,no,yes
64,summarization,yes,yes,no
65,data_query,no,no,no
66,complex_question,yes,yes,no
67,complex_question,yes,yes,no
69,summarization,yes,yes,no
70,yes/no,yes,yes,no
71,data_query,no,no,no
72,data_query,yes,yes,no
73,data_query,yes,yes,no
74,summarization,yes,yes,no
75,summarization,yes,no,no
76,data_query,yes,yes,no
77,data_query,yes,yes,yes
78,data_query,no,no,no
79,yes/no,yes,yes,yes
87,complex_question,yes,yes,no
80,yes/no,yes,yes,no
81,yes/no,no,no,yes
82,summarization,no,yes,no
83,data_query,no,no,no
84,data_query,no,no,no
85,keyword,no,no,no
86,complex_question,yes,yes,no
88,summarization,no,no,yes
89,data_query,yes,yes,no
90,summarization,yes,no,yes
91,summarization,no,no,yes
92,summarization,no,no,no
93,summarization,yes,yes,no
94,complex_question,no,no,no
95,summarization,yes,yes,yes
97,summarization,no,yes,no
98,summarization,yes,yes,yes
99,summarization,yes,no,yes
96,irrelevant_question,no,yes,no
100,keyword,yes,yes,no
101,complex_question,yes,yes,no
102,summarization,no,no,yes
103,complex_question,yes,no,no
104,complex_question,no,no,yes
105,summarization,yes,no,no
111,complex_question,yes,yes,no
106,summarization,yes,yes,no
107,complex_question,no,yes,yes
108,complex_question,yes,yes,no
109,yes/no,yes,yes,no
110,complex_question,no,yes,no
206,keyword,no,yes,no
112,summarization,yes,yes,yes
113,complex_question,no,no,yes
114,data_query,yes,yes,no
115,data_query,yes,yes,no
116,complex_question,yes,yes,yes
117,summarization,no,yes,yes
118,yes/no,yes,yes,no
119,summarization,yes,no,yes
120,keyword,yes,yes,yes
121,data_query,no,no,yes
122,summarization,yes,no,yes
123,complex_question,no,yes,yes
124,complex_question,no,no,no
125,summarization,no,no,yes
126,summarization,no,yes,no
127,data_query,no,no,yes
128,data_query,yes,yes,yes
129,data_query,yes,no,yes
130,complex_question,no,yes,yes
131,summarization,no,no,no
132,complex_question,no,no,no
133,complex_question,no,no,yes
134,summarization,no,no,yes
207,summarization,no,no,yes
135,complex_question,no,yes,no
136,keyword,yes,yes,yes
137,data_query,yes,yes,yes
138,data_query,no,no,yes
139,data_query,yes,yes,yes
140,data_query,no,no,no
141,data_query,no,no,no
142,data_query,yes,no,no
143,data_query,no,no,no
144,summarization,yes,yes,yes
145,complex_question,yes,no,no
146,complex_question,no,no,no
147,summarization,yes,yes,yes
