question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",128.218;162.161;170.426,153.60,0.77
"What are the residues and their contacts that contribute to the similarities in activation pathways?",158.066;162.256;164.913;167.902,163.28,0.75
"Are these residues conserved and significantly part of certain structural elements?",219.88;233.964;245.319,233.05,0.59
"Are there significant rearrangements in the process of activation?",225.915;238.798;242.065;247.377,238.54,0.58
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",79.918;87.209;89.444;100.002,89.14,0.91
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",69.021;84.42;86.649,80.03,0.93
"Is there any preference for the phosphorylation of regions in receptors?",205.389;212.405;212.651;220.403,212.71,0.64
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",121.116;132.844;137.803,130.59,0.82
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",74.141;109.31;113.054;127.419,105.98,0.88
"Which residue positions in the barcode are universally conserved? ",231.879;244.88;252.619,243.13,0.57
"How GPCRs recognize G-protein barcodes?",149.464;158.511;164.54;174.829,161.84,0.75
"What is the over model for the GPCR-G protein interaction selectivities?",153.929;161.781;171.297,162.34,0.75
"Is there a selectivity bar code in RGS for GPCR binding?",202.412;204.223;204.326,203.65,0.66
"What is the structural preference for selectivity barcode residues of RGS?",149.442;158.938;165.055;171.282,161.18,0.75
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",122.196;145.828;147.008;155.317,142.59,0.79
"What is the overall mechanism for RGS-Galpha-based signaling?",190.178;199.111;207.5,198.93,0.67
"What is the mechanism through which the sensor works?",311.5;317.036;317.358;318.881;324.408,317.84,0.40
"In which cell lines did the sensor give predicted or unexpected results?",255.603;258.134;265.529,259.76,0.53
"How were unexpected results validated? Which orthogonal assays were used?",265.729;282.327;283.536;285.657,279.31,0.49
