library,Evaluator,question_type,question,t_0_k_10_p_0.5,t_0.2_k_20_p_0.6,t_0.4_k_40_p_0.7,t_0.6_k_60_p_0.8,t_0.8_k_80_p_0.9,t_1_k_100_p_0.95
GPCR,BS,yes/no,"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0.90,0.92,0.87,0.85,0.88,0.88
GPCR,BS,data query,What are the residues and their contacts that contribute to the similarities in activation pathways?,0.49,0.49,0.47,0.49,0.48,0.48
GPCR,BS,data query,Are these residues conserved and significantly part of certain structural elements?,0.70,0.66,0.62,0.72,0.66,0.64
GPCR,BS,yes/no,Are there significant rearrangements in the process of activation?,0.82,0.81,0.81,0.71,0.77,0.77
GPCR,BS,complex question,Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?,0.70,0.71,0.69,0.69,0.73,0.71
GPCR,BS,complex question,What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?,0.85,0.85,0.80,0.69,0.80,0.75
GPCR,BS,complex question,Is there any preference for the phosphorylation of regions in receptors?,0.56,0.52,0.52,0.69,0.71,0.60
GPCR,BS,complex question,How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?,0.76,0.76,0.76,0.76,0.73,0.78
GPCR,BS,yes/no,"Is there the existence of a ""selectivity barcode"" on each of the 16 human G proteins for GPCR binding?",0.79,0.70,0.74,0.72,0.76,0.73
GPCR,BS,data query,Which residue positions in the barcode are universally conserved? ,0.60,0.60,0.48,0.52,0.48,0.64
GPCR,BS,summarization,How GPCRs recognize G-protein barcodes?,0.66,0.63,0.64,0.66,0.61,0.60
GPCR,BS,summarization,What is the over model for the GPCR-G protein interaction selectivities?,0.84,0.84,0.85,0.90,0.83,0.83
GPCR,BS,complex question,Is there a selectivity bar code in RGS for GPCR binding?,0.84,0.84,0.85,0.82,0.87,0.85
GPCR,BS,summarization,What is the structural preference for selectivity barcode residues of RGS?,0.89,0.92,0.89,0.85,0.86,0.89
GPCR,BS,complex question,How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?,0.93,0.93,0.93,0.92,0.91,0.94
GPCR,BS,complex question,What is the overall mechanism for RGS-Galpha-based signaling?,0.91,0.93,0.92,0.92,0.89,0.91
GPCR,KN,summarization,What is the mechanism through which the sensor works?,0.33,0.20,0.20,0.17,0.27,0.09
GPCR,KN,data query,In which cell lines did the sensor give predicted or unexpected results?,0.53,0.68,0.71,0.69,0.71,0.70
GPCR,KN,complex question,How were unexpected results validated? Which orthogonal assays were used?,0.69,0.61,0.64,0.67,0.63,0.67
GPCR,KN,data query,What is the sequence of G protein activation steps?,0.79,0.81,0.79,0.79,0.77,0.76
GPCR,KN,summarization,Summarize what is happening with GPCR during G protein activation?,0.83,0.83,0.85,0.84,0.80,0.88
GPCR,KN,data query,Which technologies were used to measure G protein activation?,0.82,0.82,0.81,0.80,0.80,0.81
GPCR,KN,summarization,What is the difference between cell surface membrane signaling and endosomal signaling?,0.36,0.34,0.32,0.39,0.42,0.45
GPCR,KN,data query,Which sensors or assays can be used to explain different compartmentalization of signaling?,0.53,0.53,0.53,0.61,0.50,0.62
GPCR,KN,complex question,How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?,0.82,0.81,0.80,0.86,0.79,0.80
GPCR,KN,data query,"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",0.86,0.71,0.77,0.87,0.84,0.74
GPCR,KN,data query,Which regions of GPCR modulate ligand efficacy and which potency?,0.81,0.87,0.80,0.83,0.81,0.62
GPCR,KN,complex question,How do human and mouse TAAR1 differentiate between different ligands?,0.83,0.83,0.77,0.81,0.83,0.81
GPCR,KN,complex question,What is the basis of polypharmacology on TAAR1 receptors?,0.83,0.83,0.87,0.82,0.83,0.81
GPCR,KN,yes/no,Do different ligands on the TAAR1 receptor induce different G protein signaling?,0.91,0.92,0.92,0.91,0.91,0.91
GPCR,KN,data query,In which physiological or pathophysiological processes is TAAR1 signaling active?,0.84,0.85,0.84,0.84,0.83,0.83
GPCR,KN,complex question,How are GPCR and kinase signaling connected?,0.87,0.88,0.87,0.82,0.89,0.83
GPCR,KN,data query,Which studies and how identified crosstalk between the GPCR and kinase signaling?,0.64,0.64,0.64,0.79,0.67,0.82
GPCR,KN,summarization,In which therapeutic areas we could target RTK/GPCR crosstalk?,0.90,0.87,0.90,0.89,0.89,0.88
GPCR,KN,summarization,What is the mechanism of GPCR-related gene transcription? ,0.83,0.81,0.80,0.75,0.83,0.80
GPCR,VTG,data query,Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.71,0.63,0.69,0.68,0.71,0.69
GPCR,VTG,data query,What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.59,0.59,0.62,0.67,0.58,0.63
GPCR,VTG,data query,What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.63,0.63,0.63,0.58,0.58,0.59
GPCR,VTG,yes/no,Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.85,0.85,0.90,0.88,0.88,0.86
GPCR,VTG,data query,How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.55,0.77,0.54,0.46,0.84,0.69
GPCR,VTG,summarization,Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.73,0.88,0.95,0.79,0.90,0.60
GPCR,VTG,data query,Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.65,0.65,0.73,0.65,0.56,0.62
GPCR,VTG,data query,How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.70,0.68,0.68,0.43,0.44,0.35
GPCR,VTG,data query,Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.67,0.70,0.72,0.71,0.72,0.72
GPCR,VTG,data query,Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.51,0.51,0.49,0.50,0.53,0.64
GPCR,VTG,data query,How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.47,0.47,0.55,0.55,0.65,0.56
GPCR,VTG,data query,Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.75,0.86,0.82,0.82,0.82,0.83
GPCR,VTG,yes/no,Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.76,0.79,0.78,0.74,0.68,0.77
GPCR,VTG,data query,What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.33,0.34,0.34,0.39,0.41,0.33
GPCR,VTG,summarization,What are the key capabilities and features of the G-protein activity biosensors?,0.90,0.90,0.91,0.90,0.91,0.89
GPCR,VTG,summarization,What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?,0.50,0.54,0.55,0.53,0.71,0.74
GPCR,VTG,complex question,How does the expression level of the biosensors impact normal G-protein signaling? ,0.85,0.85,0.82,0.84,0.80,0.84
GPCR,VTG,yes/no,Does levels of biosensor expression interfere with downstream signaling pathways?,0.61,0.61,0.55,0.61,0.66,0.69
GPCR,VTG,yes/no,Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?,0.73,0.92,0.81,0.75,0.83,0.81
GPCR,VTG,keyword,What is the CRISPR-coupled GPCR ChaCha system? ,0.95,0.95,0.94,0.94,0.94,0.95
