,model,qa-cos,mini-l6,snowflake
0,gemma,0.894261523,0.478349847,0.894261523
1,gemma,,0.959645198,0.724729221
2,gemma,0.454996588,0.547119948,0.643724569
3,gemma,0.544884186,,0.535578545
4,gemma,0.966214986,0.921619625,0.966214986
5,gemma,0.948549326,0.949357534,0.782764357
6,gemma,0.414335386,,0.282542267
7,gemma,0.788313689,0.678565578,0.683927526
8,gemma,0.577787728,0.544354427,0.641458391
9,gemma,0.754155636,0.968647697,
10,gemma,0.864927769,0.99711175,0.768276997
11,gemma,0.997712127,0.989367168,0.997712127
12,gemma,0.477598245,0.445222258,0.847923248
13,gemma,0.622895633,0.953372196,
14,gemma,0.684287435,0.992892445,0.939182635
15,gemma,,0.652458542,0.621358355
16,gemma,0.818787136,,0.631224664
17,gemma,,,0.335957465
18,gemma,0.992527116,,
19,gemma,,0.876378537,0.985697338
20,gemma,0.745973361,0.833955997,0.765585643
21,gemma,0.895767783,0.845816287,0.981543727
22,gemma,0.834918813,0.348772316,0.978642958
23,gemma,,,0.822222147
24,gemma,0.693893472,0.534668283,0.917279297
25,gemma,0.773874691,0.56927122,
26,gemma,0.532369623,0.391448656,
27,gemma,0.781594574,0.824135796,0.675338163
28,gemma,1,0.938112888,0.864911753
29,gemma,0.789298239,0.93286249,0.66881162
30,gemma,0.799471427,0.782477468,0.782477468
31,gemma,0.636476244,0.719456158,0.624349848
32,gemma,0.333135452,0.882383962,0.588112331
33,gemma,0.49589868,0.868923949,0.884675434
34,gemma,,,
35,gemma,,0.758244738,
36,gemma,0.678157195,0.678157195,0.788712521
37,gemma,0.721395885,,0.512989292
38,gemma,,,
39,gemma,0.682629519,0.434212686,0.697316478
40,gemma,,,
41,gemma,0.47383614,0.633313798,0.47383614
42,gemma,0.565278947,0.668917518,0.78472426
43,gemma,0.74269897,,0.319985816
44,gemma,0.398316186,,0.467511988
45,gemma,0.145612886,0.494778848,0.455547749
46,gemma,,0.533653837,0.322881212
47,gemma,,0.582481994,
48,gemma,0.543352547,,
49,gemma,0.971114665,0.633839833,0.977667268
50,gemma,,,
51,gemma,0.989292221,0.915495617,0.953196859
52,gemma,0.495445837,0.739116962,0.659962935
53,gemma,,,
54,gemma,0.584925767,0.299386391,0.511893644
55,gemma,0.837637415,0.837637415,0.836196649
56,gemma,0.993324838,,0.993324838
57,gemma,,,0.995774668
58,gemma,0.762173792,0.364775935,
59,gemma,0.667389372,0.6526363,0.544197964
60,gemma,,0.916492213,0.923222619
61,gemma,0.829987917,,
62,gemma,,,0.65832876
63,gemma,0.733814545,0.723683392,0.855844284
64,gemma,,,
65,gemma,0.957864333,0.913559749,0.99485542
66,gemma,0.883238769,0.983921356,0.921218668
67,gemma,0.898932244,,0.832347756
68,gemma,0.768421273,0.698683882,0.612539722
69,gemma,0.819357569,0.644614131,0.712143163
70,gemma,,,
71,gemma,0.516382166,0.236643856,0.936247182
72,gemma,0.526481888,0.485596974,0.835753577
73,gemma,0.855219687,0.773144213,0.753365633
74,gemma,0.544726144,,0.533382455
75,gemma,,,
76,gemma,,,
77,gemma,,,
78,gemma,,0.666756728,0.659456849
79,gemma,0.895854587,0.813794489,0.533781967
80,gemma,,0.935187583,
81,gemma,0.856144848,0.755743698,0.76826152
82,gemma,0.823751665,0.831656917,0.885527548
83,gemma,,,
84,gemma,,,
85,gemma,0.677216168,0.459338668,0.931178533
86,gemma,0.958265265,0.954888934,0.952331927
87,gemma,0.729462862,0.447311521,0.613777148
88,gemma,0.858469561,0.863421433,0.943299716
89,gemma,0.64182932,0.641768789,0.641483642
90,gemma,,0.413865795,0.317243782
91,gemma,,0.817913662,0.917786394
92,gemma,0.762838372,0.875491777,0.262867944
93,gemma,,,0.699292924
94,gemma,1,0.169524969,
95,gemma,,,
96,gemma,0.645782276,0.774345949,0.785399953
97,gemma,0.632139449,0.796121324,0.795412512
98,gemma,0.493494138,0.493448923,0.588948393
99,gemma,0.964115371,,
100,gemma,0.824982218,0.614152434,0.561188616
101,gemma,0.552171592,0.772337684,0.955878263
102,gemma,0.555488446,0.271148718,0.498825583
103,gemma,0.832487299,0.825873429,
104,gemma,0.645399227,0.882167214,0.372821926
105,gemma,,,0.827752793
106,gemma,,,
107,gemma,0.966945954,0.519615272,0.659422996
108,gemma,,0.898951671,
109,gemma,,,0.921367935
110,gemma,0.753865854,0.648846165,0.742634595
111,gemma,0.741692998,0.698374893,0.759529327
112,gemma,,0.675716376,
113,gemma,0.672969116,0.334758156,0.726546774
114,gemma,0.769915862,0.847596974,
115,gemma,0.713192449,0.891292755,
116,gemma,0.864862765,0.864862765,0.864862765
117,gemma,,0.636886574,
118,gemma,0.313313934,0.689946488,
119,gemma,0.976554725,0.976554725,0.843557838
120,gemma,0.948953386,0.949825379,0.937242685
121,gemma,0.988174842,0.845621949,0.822314299
122,gemma,0.773584367,0.773584367,0.773584367
123,gemma,,,0.989211178
124,gemma,0.997446273,0.822187172,0.928816715
125,gemma,0.822733685,0.983729123,0.961654154
126,gemma,,,
127,gemma,,,0.636633581
128,gemma,,,
129,gemma,,,0.657191936
130,gemma,,,
131,gemma,,,0.826167672
132,gemma,,,0.873718666
133,gemma,,,0.635181342
134,gemma,,,
135,gemma,,,0.564494316
136,gemma,,,
137,gemma,,0.752616987,
138,gemma,0.386788198,,
139,gemma,,0.75969116,
140,gemma,0.783853745,,
141,gemma,0.772255525,0.514993297,0.719165584
142,gemma,,,
143,gemma,,0.992688914,0.972626656
144,gemma,,0.469847124,0.571785677
145,gemma,0.837955677,0.742862284,0.961185879
146,gemma,,,0.989333365
147,gemma,0.483353589,0.683977258,0.938518454
148,gemma,0.845882231,0.845882231,0.884146764
149,gemma,0.936579685,0.945734137,0.936598765
150,gemma,,,0.577286642
151,gemma,0.834552679,0.913363864,0.863758424
152,gemma,0.518268641,,0.827137296
153,gemma,,0.934994733,0.985338635
154,gemma,0.98713588,0.514495927,1
155,gemma,,,
156,gemma,0.674782451,0.598146544,0.594375835
157,gemma,,,
158,gemma,0.836791593,0.849536849,0.727814816
159,gemma,0.491413612,,0.491413612
160,gemma,0.523149538,0.618151655,0.482459233
161,gemma,,,
162,gemma,0.71146916,0.913769885,0.756993282
163,gemma,0.877856915,0.146427527,0.971633925
164,gemma,0.725472662,0.416632164,0.783651384
165,gemma,0.696941729,0.713624929,0.679497146
166,gemma,,0.985836976,
167,gemma,0.799961412,0.759928672,0.823866174
168,gemma,,,
169,gemma,0.949162219,0.979724614,0.937255668
170,gemma,,,
171,gemma,0.682223355,0.637499553,0.637724173
172,gemma,0.615276179,0.815439919,0.615276179
173,gemma,0.632329969,0.632329969,0.827169725
174,gemma,0.966753272,0.696551186,0.966753272
175,gemma,0.822676127,0.958725284,0.459788363
176,gemma,0.882733958,0.722658158,0.746884193
177,gemma,0.155864469,0.599912113,0.118648867
178,gemma,0.825143273,1,0.859336258
179,gemma,0.586324887,0.486535475,0.588312226
180,gemma,0.591255457,0.763566392,0.656174928
181,gemma,0.787926888,0.749372632,0.816382126
182,gemma,0.251295975,,0.219641924
183,gemma,0.65295328,0.918663954,0.628519768
184,gemma,0.538336343,0.229654797,0.375496732
185,gemma,0.958253364,0.895493154,0.958253364
186,gemma,1,0.616185874,0.591112758
187,gemma,0.779127176,0.796147166,0.779127176
188,gemma,0.481886546,0.613162796,0.587342982
189,gemma,0.343754466,0.977625122,0.358783276
190,gemma,0.328393442,0.491716519,0.466436168
191,gemma,0.16292625,,0.179984777
192,gemma,0.679629918,0.697563377,0.679629918
193,gemma,0.888596323,0.914631516,0.853167688
194,gemma,0.783248623,0.811874665,0.783248623
195,gemma,,0.756917142,
196,gemma,0.895633993,0.757273429,1
197,gemma,0.815145681,0.713845493,0.696482332
198,gemma,,,
199,gemma,0.971111176,0.868761274,0.775487532
200,gemma,0.555118372,0.211582886,0.555118372
201,gemma,,0.392131752,0.794515176
202,gemma,0.949849467,,0.749547247
203,gemma,0.987438411,0.994561768,
204,gemma,0.739558576,0.762446166,0.782779557
205,gemma,0.236937974,,0.541952964
206,gemma,0.913969778,1,0.958559639
207,gemma,0.345415544,0.815762762,0.894355983
208,gemma,,,
209,gemma,0.973693664,,0.833974797
210,gemma,,,
211,gemma,0.877841556,0.863882771,0.852165424
212,gemma,,0.651523869,
213,gemma,0.155114329,0.421386997,0.134513438
214,gemma,0.631751168,0.631751168,0.387723862
215,gemma,0.871723776,,0.955516469
216,gemma,0.827114346,0.628583439,0.628583439
217,gemma,0.59677477,0.715686412,0.782198783
218,gemma,0.614645982,0.614645982,0.696756318
219,gemma,0.579151354,0.493152498,0.57579482
220,gemma,0.913644696,0.824525769,0.824525769
221,gemma,0.615513934,,
222,gemma,,,0.916382165
223,gemma,,0.955716975,0.95277627
224,gemma,0.785617887,0.785617887,0.785617887
225,gemma,0.519787362,,0.456484963
226,gemma,0.493454629,0.571689985,0.991736376
227,gemma,0.761717271,,
228,gemma,0.866862482,0.929823622,0.893881992
229,gemma,,0.22785468,
230,gemma,0.591586859,0.588948519,0.581526584
231,gemma,,,
232,llama2,0.894261523,0.457197717,0.894261523
233,llama2,0.955539978,0.372155761,0.682339665
234,llama2,0.573435649,0.479944734,0.727839392
235,llama2,0.587822865,0.591954587,0.577881737
236,llama2,0.962769716,0.966214986,0.948969155
237,llama2,0.821918788,0.783918628,
238,llama2,0.797475477,0.263596665,0.359718176
239,llama2,0.663639284,0.798897686,0.654463547
240,llama2,0.597952249,0.545118256,0.577618399
241,llama2,0.987511895,0.994515129,0.837773898
242,llama2,0.99711175,0.99711175,0.99711175
243,llama2,0.914795618,0.914795618,0.877769784
244,llama2,0.493951447,0.535126166,0.697673947
245,llama2,0.945686389,0.574471491,0.516291479
246,llama2,0.642391173,0.852443998,0.662424784
247,llama2,0.685513698,1,1
248,llama2,0.818787136,0.329868189,0.356192279
249,llama2,0.549646113,0.417797444,0.425835665
250,llama2,0.544499246,0.546931239,0.736782217
251,llama2,0.941331641,0.969437318,1
252,llama2,0.473894855,0.815362867,
253,llama2,0.996285386,0.996285386,0.996285386
254,llama2,,0.372441261,0.595871273
255,llama2,0.919613895,0.271331943,0.847898442
256,llama2,0.744247424,0.399674713,0.94944173
257,llama2,0.986973389,0.971614965,0.986973389
258,llama2,0.719464852,0.98478797,
259,llama2,0.563189149,0.56716186,0.497139942
260,llama2,0.863424674,1,1
261,llama2,0.474724432,0.951929314,0.616686732
262,llama2,0.894391889,0.326346645,0.71912689
263,llama2,0.726434195,0.719792299,0.546466122
264,llama2,0.962194711,0.952645247,0.588112331
265,llama2,0.973121932,0.357376124,
266,llama2,1,,0.594984487
267,llama2,0.82772994,0.823669159,0.724419191
268,llama2,0.694161921,0.621955189,0.558762636
269,llama2,0.674398249,0.458852629,0.629411589
270,llama2,0.612294338,0.67541489,0.393149321
271,llama2,0.528615523,,0.596621761
272,llama2,0.569678978,0.411211346,0.491713398
273,llama2,0.633755119,0.531785274,0.568195264
274,llama2,0.544438264,0.324227178,0.933884777
275,llama2,0.88887495,0.892151483,0.787671517
276,llama2,0.565533287,0.566554884,0.553193917
277,llama2,0.75617843,0.976324361,0.551416478
278,llama2,0.733255973,0.542989518,0.421774647
279,llama2,0.693195787,0.581682432,0.568445393
280,llama2,0.549216566,0.71822437,0.417694369
281,llama2,0.997891667,1,0.985556653
282,llama2,,0.857515494,0.685839547
283,llama2,0.999514944,0.998544832,0.889566359
284,llama2,0.991223386,0.622923876,0.948212849
285,llama2,0.61713723,0.747254814,0.791667272
286,llama2,0.764663923,0.596585497,0.511425169
287,llama2,1,0.945879138,0.885166171
288,llama2,0.993324838,0.993324838,0.993324838
289,llama2,0.995213929,0.995774668,0.722853994
290,llama2,0.747743615,0.773929829,0.376413524
291,llama2,0.755377516,0.723391967,0.945619459
292,llama2,,0.942197794,0.825428416
293,llama2,,0.853237735,
294,llama2,0.828939159,0.423424812,0.794675622
295,llama2,0.959713564,,0.842432289
296,llama2,0.952284132,,0.643476599
297,llama2,0.985461122,0.978634916,
298,llama2,0.886293117,0.981453562,0.869955986
299,llama2,0.993425587,0.718918818,0.415537131
300,llama2,0.476761623,0.213222972,0.612539722
301,llama2,0.549618266,0.621217899,0.65137698
302,llama2,1,,1
303,llama2,0.947691618,0.311219295,0.795718494
304,llama2,0.924419689,0.516765458,0.8487794
305,llama2,0.768217333,,0.798541349
306,llama2,,,0.623944317
307,llama2,,0.857539156,0.93851427
308,llama2,1,1,1
309,llama2,0.887983642,0.762233134,0.717919667
310,llama2,,0.668547536,0.577254733
311,llama2,0.899588516,0.753318722,0.874189175
312,llama2,0.295511762,0.984817845,
313,llama2,1,0.952744668,0.996549765
314,llama2,0.664999486,0.847962845,0.848615979
315,llama2,0.824123913,0.487945836,0.543319146
316,llama2,1,1,1
317,llama2,0.891413446,0.878225612,0.859195919
318,llama2,0.976195417,0.963345478,0.973448449
319,llama2,0.691511369,0.616273422,0.942748822
320,llama2,0.829489498,0.487247188,0.566838626
321,llama2,,0.229638198,
322,llama2,,0.532945542,0.782588739
323,llama2,0.833554566,0.819538119,0.851574436
324,llama2,0.967891989,,1
325,llama2,,0.89581982,0.873643883
326,llama2,0.387512323,0.487122347,
327,llama2,0.958444175,0.984499274,0.152419178
328,llama2,0.644157356,0.883887573,0.413915519
329,llama2,0.344258983,,0.713325814
330,llama2,0.789678393,0.789271434,0.945165654
331,llama2,0.977961734,1,1
332,llama2,0.839214297,0.614152434,0.882912527
333,llama2,0.553288293,0.523128343,0.677759639
334,llama2,0.992846889,0.294268186,0.977287483
335,llama2,0.855197187,0.831198789,0.844834588
336,llama2,0.645399227,0.933678397,0.933678397
337,llama2,0.859776133,0.859776133,0.647528559
338,llama2,,0.972467344,0.964452297
339,llama2,0.635226357,0.514789657,0.58125563
340,llama2,0.543649494,0.663692291,0.89112886
341,llama2,0.885673634,,0.934532325
342,llama2,0.679744452,0.825751899,0.772846275
343,llama2,0.772456787,0.617212226,0.725259476
344,llama2,,0.989286987,0.995137557
345,llama2,,0.668992876,0.741872666
346,llama2,0.853528359,0.523416947,
347,llama2,0.849886475,0.882588669,0.527732371
348,llama2,0.714454772,0.864862765,0.779788757
349,llama2,0.788247537,0.885364676,0.786745859
350,llama2,0.28716666,,0.969332679
351,llama2,0.822626361,,0.843557838
352,llama2,0.949154294,0.913544398,0.961145553
353,llama2,0.988174842,0.222747525,
354,llama2,0.922591836,0.924974949,0.546716577
355,llama2,0.558315884,0.527582163,0.691518549
356,llama2,0.764167217,0.975531916,0.842318688
357,llama2,0.826888793,0.587416572,0.967127272
358,llama2,,,
359,llama2,,0.679346644,0.713851796
360,llama2,0.945374682,,0.526792591
361,llama2,,0.979134762,0.476968928
362,llama2,0.989578527,0.988811841,0.91399613
363,llama2,,0.821328857,0.939455191
364,llama2,0.858927778,0.849832123,0.811442639
365,llama2,0.99731182,0.821441735,0.956339388
366,llama2,0.915259122,0.327719668,
367,llama2,0.614848882,0.644845732,0.585728144
368,llama2,,0.744586288,0.44222237
369,llama2,0.926144638,0.249121694,0.756833349
370,llama2,0.961911842,0.627927183,0.256698379
371,llama2,,0.636227737,0.627412863
372,llama2,0.561738997,0.959669251,0.581789491
373,llama2,0.849447219,0.889648559,0.727796459
374,llama2,,0.756332397,0.494175894
375,llama2,0.993618996,0.994558717,0.994163195
376,llama2,0.868189173,0.867258145,0.872382594
377,llama2,0.739211436,,0.739211436
378,llama2,,,1
379,llama2,0.932546766,0.938518454,0.934241568
380,llama2,0.857196525,0.863862713,0.814816751
381,llama2,0.621552154,0.913456527,0.912762628
382,llama2,0.442726393,0.67486986,0.975612362
383,llama2,0.811696392,0.553452455,0.864553118
384,llama2,0.292785579,0.759971555,0.788892278
385,llama2,,0.794919573,0.774712152
386,llama2,0.993649167,0.992448572,1
387,llama2,,0.959424451,0.613355868
388,llama2,0.693289365,0.136762558,-0.154875476
389,llama2,0.718975189,0.857345493,0.718975189
390,llama2,0.662863973,0.849536849,0.655563518
391,llama2,0.832654984,0.594348254,0.832654984
392,llama2,0.384781987,0.337884889,0.421385454
393,llama2,0.824393557,,0.967224174
394,llama2,0.53499153,0.887371428,0.722821866
395,llama2,0.768297416,0.183919772,0.768297416
396,llama2,0.912553217,0.959267317,0.912428112
397,llama2,0.713624929,,0.713624929
398,llama2,0.929197417,0.937245297,0.929197417
399,llama2,0.798343633,0.693552155,0.924864927
400,llama2,0.514798949,0.645985266,0.512674162
401,llama2,0.793182814,0.789311717,0.854553756
402,llama2,0.499916756,0.45299966,0.818582413
403,llama2,0.827352428,0.614684157,0.831652694
