library,Evaluator,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic
GPCR,BS,"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0.25,0.363636364,0.222222222,0.363636364,0.055555556,0.5
GPCR,BS,What are the residues and their contacts that contribute to the similarities in activation pathways?,0.214285714,0.0625,0.333333333,0.0625,0.111111111,0.125
GPCR,BS,Are these residues conserved and significantly part of certain structural elements?,0.176470588,0.076923077,0.058823529,0.076923077,0.083333333,0.052631579
GPCR,BS,Are there significant rearrangements in the process of activation?,0.115384615,0.032258065,0.090909091,0.032258065,0.066666667,0.047619048
GPCR,BS,Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?,0.461538462,0.266666667,0.227272727,0.266666667,0.19047619,0.227272727
GPCR,BS,What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?,0.315789474,0.333333333,0.227272727,0.333333333,0.454545455,0.384615385
GPCR,BS,Is there any preference for the phosphorylation of regions in receptors?,0.0625,0.052631579,0.03125,0.052631579,0.076923077,0.043478261
GPCR,BS,How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?,0.138888889,0.181818182,0.133333333,0.136363636,0.011764706,0.222222222
GPCR,BS,"Is there the existence of a ""selectivity barcode"" on each of the 16 human G proteins for GPCR binding?",0.238095238,0.15,0.304347826,0.15,0.428571429,0.227272727
GPCR,BS,Which residue positions in the barcode are universally conserved? ,0.230769231,0.055555556,0.03125,0.055555556,0.058823529,0.176470588
GPCR,BS,How GPCRs recognize G-protein barcodes?,0.2,0.115384615,0.111111111,0.115384615,0.2,0.173913043
GPCR,BS,What is the over model for the GPCR-G protein interaction selectivities?,0.029411765,0.090909091,0.034482759,0.090909091,0.2,0.028571429
GPCR,BS,Is there a selectivity bar code in RGS for GPCR binding?,0.416666667,0.130434783,0.037037037,0.043478261,0.058823529,0.214285714
GPCR,BS,What is the structural preference for selectivity barcode residues of RGS?,0.038461538,0.058823529,0.25,0.058823529,0.153846154,0.045454545
GPCR,BS,How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?,0.0625,0.043478261,0.238095238,0.043478261,0.428571429,0.2
GPCR,BS,What is the overall mechanism for RGS-Galpha-based signaling?,0.020833333,0.008474576,0.018181818,0.008474576,0.034482759,0.266666667
GPCR,KN,What is the mechanism through which the sensor works?,0.166666667,0.03125,0.4,0.125,0.125,0.15
GPCR,KN,In which cell lines did the sensor give predicted or unexpected results?,0.05,0.4,0.066666667,0.4,0.024390244,0.166666667
GPCR,KN,How were unexpected results validated? Which orthogonal assays were used?,0.04,0.111111111,0.045454545,0.111111111,0.0625,0.041666667
GPCR,KN,What is the sequence of G protein activation steps?,0.388888889,0.029411765,0.136363636,0.029411765,0.02173913,0.181818182
GPCR,KN,Summarize what is happening with GPCR during G protein activation?,0.307692308,0.071428571,0.210526316,0.071428571,0.333333333,0.333333333
GPCR,KN,Which technologies were used to measure G protein activation?,0.16,0.03125,0.071428571,0.03125,0.014705882,0.266666667
GPCR,KN,What is the difference between cell surface membrane signaling and endosomal signaling?,0.026315789,0.066666667,0.333333333,0.066666667,0.053571429,0.083333333
