question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",140.341;162.161;163.633;165.736;170.809;177.466,163.36,0.75
"What are the residues and their contacts that contribute to the similarities in activation pathways?",124.096;153.839;154.263;162.356,148.64,0.78
"Are these residues conserved and significantly part of certain structural elements?",219.88;220.355;237.928,226.05,0.61
"Are there significant rearrangements in the process of activation?",220.349;229.434;238.386,229.39,0.60
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",87.209;92.701;94.392;99.36,93.42,0.90
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",82.51;86.332;99.793,89.55,0.91
"Is there any preference for the phosphorylation of regions in receptors?",202.728;209.726;217.723,210.06,0.64
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",132.844;137.854;139.737,136.81,0.81
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",94.389;97.761;126.566,106.24,0.88
"Which residue positions in the barcode are universally conserved? ",235.773;242.595;246.324;251.786,244.12,0.57
"How GPCRs recognize G-protein barcodes?",160.502;166.106;166.408;171.601;180.075,168.94,0.74
"What is the over model for the GPCR-G protein interaction selectivities?",161.781;165.081;171.917,166.26,0.74
"Is there a selectivity bar code in RGS for GPCR binding?",172.599;177.385;178.852;203.936,183.19,0.70
"What is the structural preference for selectivity barcode residues of RGS?",132.246;150.653;161.43;176.683,155.25,0.77
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",125.189;128.916;142.8,132.30,0.82
"What is the overall mechanism for RGS-Galpha-based signaling?",179.456;180.334;183.762;188.122;199.111,186.16,0.70
"What is the mechanism through which the sensor works?",310.12;310.296;310.531;311.85;315.448;319.144,312.90,0.42
"In which cell lines did the sensor give predicted or unexpected results?",242.14;246.276;248.724;252.822,247.49,0.56
"How were unexpected results validated? Which orthogonal assays were used?",274.23;279.058;288.204,280.50,0.49
"What is the sequence of G protein activation steps?",211.974;220.447;222.352;226.306,220.27,0.62
"Summarize what is happening with GPCR during G protein activation?",125.585;153.81;156.732;160.547,149.17,0.78
"Which technologies were used to measure G protein activation?",166.657;142.53;158.669,155.95,0.76
"What is the difference between cell surface membrane signaling and endosomal signaling?",221.387;223.741;226.373,223.83,0.61
"Which sensors or assays can be used to explain different compartmentalization of signaling?",223.367;236.931;238.113,232.80,0.59
"How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?",125.436;129.821;137.698,130.99,0.82
