library,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic,pubmed_bert
IDR,What is a KID domain?,0.689307851,0.605704813,0.460159834,0.516954118,0.902809059,0.630940978,0.648127924
IDR,"Provide a list of disordered proteins that do not fit the classic structure-function paradigm, and briefly list their relevant propeties.",0.935916991,0.724824894,0.935916991,0.935916991,0.752259152,0.587085039,0
IDR,Does the DNA-related function of LEF-1 involve the structural transition of the protein and the DNA?,0.791989853,0.804953686,0.804953686,0.804953686,0.649238561,0.804953686,0.473004956
IDR,How long is the peptide required to bind to eIF4E?,0.959065012,0.504059032,0.543853732,0.904717612,0,0.480911258,0.063375262
IDR,What does the structure-function paradigm state and why does it need to be re-assessed?,0.594288674,0.724214185,0.418759938,0.689052642,0.241428622,0,0.462093308
IDR,What is the function of the disordered regions of myoglobin?,0.50248783,0,0,0,0,0,0
IDR,Why are highly flexible proteins incompatible with our previous view of how structure and function are related? ,0.539152235,0.497962105,0.730094248,0.584918436,0.824110403,0.659969432,0.607436794
IDR,What is a molten globue?,0.830241132,0.902523971,0.775813948,0.965878965,0,0.920690803,0.920690803
IDR,List the main features of a protein sequence that will determine whether the sequence will or will not fold into a stable structure.,0.944076881,0.949934984,0.903107917,0.944076881,0,0.951085896,0.940574012
IDR,Is the NCBD domain of CBP folded or disordered?,0,0.879160918,0.849885281,0.814390214,0.801238667,0.84384072,0.831003489
IDR,Where are the leukaemia-related breakpoints located in CBP/p300?,0,0,0,0.327693304,0,0.72076224,0
IDR,What are the functions that are enabled by the fact that disordered proteins do not have a stable structure?,0.943145836,0.981708508,0.805182471,0.998519105,0,0.766852557,0.688900359
IDR,What is the role of the disordered protein HMGA1?,0.973693371,0.582641992,0,0.600725108,0,0.670091147,0.687735684
IDR,What biological roles can disordered proteins fulfill thanks to their structural properties?,0.936928044,0.859767376,0.898027339,0.786485724,0,0.772983086,0.938911631
IDR,What is a nanny protein?,0.941283561,0.644709887,0,0.877268371,0.422424022,0,0.310663643
IDR,"Provide a list of ways IDPs are regulated, together with the implications of these reulatory mechanisms.",0.675994631,0.691249384,0.747429563,0.665575369,0.66898182,0.658605499,0.778509949
