library,Evaluator,question_type,question, ,t_0.2_k_20_p_0.6,t_0.4_k_40_p_0.7,t_0.6_k_60_p_0.8,t_0.8_k_80_p_0.9,t_1_k_100_p_0.95
GPCR,BS,yes/no,"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0.89,0.89,0.89,0.89,0.89,0.89
GPCR,BS,data query,What are the residues and their contacts that contribute to the similarities in activation pathways?,0.57,0.48,0.61,0.59,0.52,0.86
GPCR,BS,data query,Are these residues conserved and significantly part of certain structural elements?,0.72,0.71,0.62,0.67,0.68,0.70
GPCR,BS,yes/no,Are there significant rearrangements in the process of activation?,0.78,0.85,0.73,0.75,0.73,0.67
GPCR,BS,complex question,Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?,0.00,0.89,0.91,0.91,0.88,0.00
GPCR,BS,complex question,What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?,0.83,0.83,0.83,0.77,0.83,0.72
GPCR,BS,complex question,Is there any preference for the phosphorylation of regions in receptors?,0.34,0.37,0.34,0.45,0.39,0.00
GPCR,BS,complex question,How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?,0.69,0.71,0.67,0.71,0.71,0.69
GPCR,BS,yes/no,"Is there the existence of a ""selectivity barcode"" on each of the 16 human G proteins for GPCR binding?",0.61,0.64,0.63,0.62,0.67,0.64
GPCR,BS,data query,Which residue positions in the barcode are universally conserved? ,0.00,0.00,0.04,0.00,0.00,0.00
GPCR,BS,summarization,How GPCRs recognize G-protein barcodes?,0.51,0.50,0.51,0.50,0.51,0.50
GPCR,BS,summarization,What is the over model for the GPCR-G protein interaction selectivities?,0.66,0.66,0.67,0.66,0.71,0.49
GPCR,BS,complex question,Is there a selectivity bar code in RGS for GPCR binding?,0.71,0.55,0.47,0.47,0.49,0.47
GPCR,BS,summarization,What is the structural preference for selectivity barcode residues of RGS?,0.60,0.60,0.96,0.69,0.59,0.60
GPCR,BS,complex question,How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?,0.63,0.90,0.61,0.90,0.90,0.90
GPCR,BS,complex question,What is the overall mechanism for RGS-Galpha-based signaling?,1.00,1.00,1.00,0.99,0.99,0.85
GPCR,KN,summarization,What is the mechanism through which the sensor works?,0.75,0.46,0.41,0.51,0.51,0.27
GPCR,KN,data query,In which cell lines did the sensor give predicted or unexpected results?,0.00,0.00,0.20,0.22,0.00,0.00
GPCR,KN,complex question,How were unexpected results validated? Which orthogonal assays were used?,0.84,0.00,0.62,0.00,0.00,0.00
GPCR,KN,data query,What is the sequence of G protein activation steps?,0.85,0.93,0.80,1.00,0.78,0.80
GPCR,KN,summarization,Summarize what is happening with GPCR during G protein activation?,0.63,0.66,0.71,0.63,0.63,0.63
GPCR,KN,data query,Which technologies were used to measure G protein activation?,0.98,0.98,1.00,1.00,1.00,0.99
GPCR,KN,summarization,What is the difference between cell surface membrane signaling and endosomal signaling?,0.98,0.93,0.99,0.99,0.83,0.99
GPCR,KN,data query,Which sensors or assays can be used to explain different compartmentalization of signaling?,0.35,0.18,0.26,0.40,0.00,0.00
GPCR,KN,complex question,How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?,0.79,0.56,0.69,0.79,0.67,0.89
