library,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake
GPCR,"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0.357142857,0.25,0.2,0.214285714,0.294117647
GPCR,What are the residues and their contacts that contribute to the similarities in activation pathways?,0.3,0.078947368,0.130434783,0.25,0.157894737
GPCR,Are these residues conserved and significantly part of certain structural elements?,0.235294118,0.2,0.166666667,0.142857143,0.25
GPCR,Are there significant rearrangements in the process of activation?,0.173913043,0.6,0.125,0.081081081,0.173913043
GPCR,Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?,0.352941176,0.6,0.214285714,0.130434783,0.352941176
GPCR,What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?,0.384615385,0.04,0.125,0.210526316,0.157894737
GPCR,Is there any preference for the phosphorylation of regions in receptors?,0.035714286,0.015873016,0.148148148,0.058823529,0.130434783
GPCR,How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?,0.12,0.073170732,0.125,0.136363636,0.157894737
GPCR,"Is there the existence of a ""selectivity barcode"" on each of the 16 human G proteins for GPCR binding?",0.466666667,0.142857143,0.214285714,0.090909091,0.161290323
GPCR,Which residue positions in the barcode are universally conserved? ,0.363636364,0.272727273,0.15,0.176470588,0.130434783
GPCR,How GPCRs recognize G-protein barcodes?,0.142857143,0,0.115384615,0.15,0.111111111
GPCR,What is the over model for the GPCR-G protein interaction selectivities?,0.090909091,0.428571429,0.125,0.071428571,0.083333333
GPCR,Is there a selectivity bar code in RGS for GPCR binding?,0.263157895,0.166666667,0.166666667,0.181818182,0.115384615
GPCR,What is the structural preference for selectivity barcode residues of RGS?,0.1875,0.176470588,0.263157895,0.136363636,0.1875
GPCR,How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?,0.25,0,0.15,0.222222222,0.173913043
GPCR,What is the overall mechanism for RGS-Galpha-based signaling?,0.111111111,0.0375,0.071428571,0.214285714,0.02173913
GPCR,What is the mechanism through which the sensor works?,0.307692308,0.6,0.333333333,0,0.125
GPCR,In which cell lines did the sensor give predicted or unexpected results?,0.266666667,0.333333333,0.125,0.111111111,0.136363636
GPCR,How were unexpected results validated? Which orthogonal assays were used?,0.081081081,0.125,0,0.222222222,0
GPCR,What is the sequence of G protein activation steps?,0.058823529,0.6,0.272727273,0.363636364,0.222222222
GPCR,Summarize what is happening with GPCR during G protein activation?,0.25,0.25,0.277777778,0.285714286,0
GPCR,Which technologies were used to measure G protein activation?,0.194444444,0.09375,0.176470588,0.026315789,0.136363636
GPCR,What is the difference between cell surface membrane signaling and endosomal signaling?,0.05,0.111111111,0.076923077,0.076923077,0.2
GPCR,Which sensors or assays can be used to explain different compartmentalization of signaling?,0.115384615,0.333333333,0.5,0.4,0.111111111
GPCR,How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?,0.071428571,0.061538462,0.125,0.041666667,0.5625
GPCR,"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",0.069767442,0.333333333,0.185185185,0,0.217391304
GPCR,Which regions of GPCR modulate ligand efficacy and which potency?,0.545454545,0.063829787,0.166666667,0.2,0.333333333
GPCR,How do human and mouse TAAR1 differentiate between different ligands?,0.136363636,0.075,0.2,0.15,0.1875
GPCR,What is the basis of polypharmacology on TAAR1 receptors?,0.272727273,0.076923077,0.210526316,0.090909091,0.2
GPCR,Do different ligands on the TAAR1 receptor induce different G protein signaling?,0.176470588,0.065217391,0.230769231,0.142857143,0.217391304
GPCR,In which physiological or pathophysiological processes is TAAR1 signaling active?,0.666666667,0.2,0.136363636,0.054545455,0.096774194
GPCR,How are GPCR and kinase signaling connected?,0.19047619,0.020833333,0.056603774,0.136363636,0.181818182
GPCR,Which studies and how identified crosstalk between the GPCR and kinase signaling?,0.166666667,0.129032258,0.06122449,0.157894737,0.25
GPCR,In which therapeutic areas we could target RTK/GPCR crosstalk?,0.25,0.5,0.4,0.05,0.142857143
GPCR,What is the mechanism of GPCR-related gene transcription? ,0.157894737,0,0.114285714,0.210526316,0.307692308
GPCR,Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.027777778,0.073170732,0.666666667,0.428571429,0.714285714
GPCR,What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.214285714,0.375,0.272727273,0.230769231,0.428571429
GPCR,What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.230769231,0,0.214285714,0.3,0.5
GPCR,Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.333333333,0.375,0.3,0.3,0.375
GPCR,How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.166666667,0.230769231,0.230769231,0.090909091,0.071428571
GPCR,Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.5,0.333333333,0.111111111,0.096774194,0.25
GPCR,Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.333333333,1,0.272727273,0.111111111,0.285714286
GPCR,How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.230769231,0.125,0.142857143,0.081081081,0.25
GPCR,Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.090909091,0.375,0,0.071428571,0.363636364
GPCR,Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.214285714,0.75,0.142857143,0.096774194,0.142857143
GPCR,How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.411764706,0.3,0.12,0.051282051,0.2
GPCR,Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.214285714,0.039215686,0.136363636,0.083333333,0.111111111
GPCR,Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.2,0.333333333,0.136363636,0.019607843,0.111111111
GPCR,What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.157894737,0.125,0.176470588,0.285714286,0.047619048
GPCR,What are the key capabilities and features of the G-protein activity biosensors?,0.333333333,0.114285714,0.2,0.363636364,1
GPCR,What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?,0.103448276,0.333333333,0.166666667,0.136363636,0.173913043
GPCR,How does the expression level of the biosensors impact normal G-protein signaling? ,0.1875,0.333333333,0.176470588,0.111111111,0.25
GPCR,Does levels of biosensor expression interfere with downstream signaling pathways?,0.296296296,0.1875,0.3,0.2,0.428571429
GPCR,Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?,0.103448276,0,0.09375,0.16,0.272727273
GPCR,What is the CRISPR-coupled GPCR ChaCha system? ,0.166666667,0,0.181818182,0.235294118,0.176470588
GPCR,What ligands can activate the CRISPR ChaCha systems?,0.12,0.081632653,0.642857143,0.108695652,0.103448276
GPCR,What advantages does the ChaCha system offer over the Tango architecture? ,0.153846154,0.3,0.166666667,0.071428571,0.173913043
GPCR,What are the limitations of the CRISPR ChaCha system? ,0.166666667,0,0.25,0.166666667,0.235294118
GPCR,Which other systems can CRISPR ChaCha be applied to?,0.176470588,0.266666667,0.157894737,0.285714286,0.142857143
Kinases,What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?,0.363636364,0.25,0.230769231,0.214285714,0.3125
Kinases,List all the FGFR mutations that were used in the experiments.,0,1,0.125,0.307692308,0.12
Kinases,Which FGFR2 mutant has the lowest substrate phosphorylation activity?,0.096774194,0,0.214285714,0.230769231,0.085714286
Kinases,"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",0.12,0.15,0.2,0.157894737,0.1
Kinases,"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",0.125,0.5,0.136363636,0.3,0.172413793
Kinases,"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",0.2,0,0.176470588,0.2,0.111111111
Kinases,What things can affect the interaction between FGFR2 and SHP2?,0.136363636,0.130434783,0.103448276,0.222222222,0
Kinases,How can be the FGFR2-SHP2 interaction affected?,0.157894737,0.066666667,0.15,0.266666667,0.181818182
Kinases,What is the difference between a canonical and non-canonical SH2 domain interaction?,0.142857143,0.333333333,0.230769231,0,0.115384615
Kinases,Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ,0.2,1,0.172413793,0.157894737,0.263157895
Kinases,Does regulatory domain inhibit PAK4?,0.235294118,0,0.214285714,0.285714286,0
Kinases,What are the Kd values for peptide binding of PAK4? ,0.12,0.018518519,0.130434783,0.041666667,0.157894737
Kinases,List me the construct boundaries of PAK4 in the experiments.,0,0.115384615,0.136363636,0.176470588,0.1
Kinases,List me the PAK4 construct boundaries in the experiments.,0.2,0.107142857,0.1875,0.2,0.12
Kinases,What is known about the inhibition and activation of PAK4?,0,0,0.5625,0.115384615,0.111111111
Kinases,What is known about PAK4 structure?,0.130434783,0.015384615,0.210526316,0.142857143,0.176470588
Kinases,Is there any interaction between PAKs and FGFRs?,0.15,0.181818182,0.153846154,0.107142857,0.235294118
Kinases,What is the main substrate of MNK1 kinase?,0.102564103,0.09375,0.222222222,0.136363636,0.049180328
Kinases,"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",0.0625,0,0.214285714,0.142857143,0.2
Kinases,"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",0.081632653,0,0.157894737,0.021276596,0.043478261
Kinases,Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?,0.266666667,0.0625,0.176470588,0.444444444,0.1875
Kinases,Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?,0.176470588,0.096774194,0.3125,0.157894737,0.107142857
Kinases,How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?,0.05,0.034883721,0.09375,0.15,0.15
Kinases,Tabulate the different ligand types in kinase  and their associated details.,0.088235294,0.6,0.230769231,0.285714286,0.12
Kinases,Provide the number of unique ligands in each combination of conformation and ligand type.,0.136363636,0.333333333,0.166666667,0.090909091,0.15
Kinases,What does MMS stand for?,0.230769231,0,0.666666667,0.111111111,0.272727273
Kinases,How does the benzylamine group impact target selectivity?,0.1875,0,0.088235294,0.25,0.088235294
Kinases,What did the high-resolution structures of CAK-bound pyrazolopyrimidine inhibitor complexes unravel?,0.266666667,0.052631579,0.111111111,0.088235294,0.2
Kinases,"What new perspective about the signalling events of the CDK1, CDK2, CDK4 and CDK6 kinase subfamilies did the work decipher?",0.073170732,0,0.166666667,0.5,0.25
Kinases,How many sites of the  human Ser/Thr phosphoproteome were annotated?,0.3,0.25,0.214285714,0.214285714,0.4
Kinases,Is chemical proteomics an infalliable approach? Give pointwise justification.                                                                                           OR                                                                                                                                                                                                            Should chemical proteomics be used? Give point wise justification.,0.050847458,0.12,0.105263158,0.069767442,0.076923077
Kinases,How was machine learning used in the current study?,0.052631579,0.044776119,0.078431373,0.153846154,0.102564103
Kinases,Define the different kinase conformations?,0.235294118,0.285714286,0.166666667,0.142857143,0.148148148
Kinases,What are the steps in the Foldseek method?,0.173913043,0.173913043,0.322580645,0.294117647,0.117647059
Kinases,"Provide rationale for determining which of the two methods, AlphaFold2 or Foldseek, exhibits superior performance.",0.083333333,0,0.107142857,0.130434783,0.075
Kinases,What is the novelty of this paper?,0.272727273,1,0.75,0.047619048,0.033333333
Kinases,Describe the NMR method used to identify the p38 kinase conformation.,0.15,0,0.066666667,0.136363636,0.073170732
Kinases,What algorithmic bottleneck do GAT networks address? ,0.285714286,0,0.142857143,0.25,0.1875
Kinases,Explain the difference between transductive and inductive tasks in the context of graph neural networks.,0.216216216,0.069767442,0.162790698,0.333333333,1
Kinases,How does the GAT mechanism work in graph-neural networks? Summarize the individual steps of the algorithm.,0.25,0.071428571,0,0.333333333,0.130434783
Kinases,What is the EFFECT benchmark suite?,0.3,0,0.210526316,0.363636364,0.333333333
Kinases,How does the EFFECT benchmark suite control for dataset biases when evaluating cancer dependency predictors?,0.230769231,0.096774194,0.125,0.115384615,0.25
Kinases,What practical guideline do the authors from the EFFECT benchmark suite suggest to critically evaluate ML models?,0.1875,0.032258065,0.214285714,0.176470588,0.583333333
Kinases,Why is a systematic evaluation and comparison of performance of methods for cancer survival and gene essentiality needed?,0.073170732,0.090909091,0.2,0.111111111,0.176470588
Kinases,What confounding biases are present in cancer depedency datasets and how do they influecne objective comparison of prediction methods?,0.142857143,0.073170732,0.2,0.235294118,0.15
Kinases,Summarize the state of the art of machine-learning methods currently in use to predict cancer dependencies from DepMap data.,0.2,0.088235294,0.181818182,0.1875,0.15
Kinases,What are the main advantages of SSS compared to transformer based architectures?,0.12,0.117647059,0.15,0.173913043,0.153846154
Kinases,What sources contribute to RNA-seq profiles being very different between patient derived cancer samples and CCLE samples?,0.066666667,0,0.125,0.15,0.25
Kinases,Explain how celligner results allow to analyze cancer sub-type organisation. ,0.073170732,0,0.115384615,0.166666667,0.176470588
Kinases,Does Celligner perform equally well on all cancer types?,0.2,1,0.4,0.173913043,0.333333333
