question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",128.218;162.161;170.426,153.60,-126.75
"What are the residues and their contacts that contribute to the similarities in activation pathways?",158.066;162.256;164.913;167.902,163.28,-134.82
"Are these residues conserved and significantly part of certain structural elements?",219.88;233.964;245.319,233.05,-192.96
"Are there significant rearrangements in the process of activation?",225.915;238.798;242.065;247.377,238.54,-197.53
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",79.918;87.209;89.444;100.002,89.14,-73.04
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",69.021;84.42;86.649,80.03,-65.44
"Is there any preference for the phosphorylation of regions in receptors?",205.389;212.405;212.651;220.403,212.71,-176.01
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",121.116;132.844;137.803,130.59,-107.57
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",74.141;109.31;113.054;127.419,105.98,-87.07
"Which residue positions in the barcode are universally conserved? ",231.879;244.88;252.95,243.24,-201.45
"How GPCRs recognize G-protein barcodes?",149.464;158.511;164.54;174.829,161.84,-133.61
"What is the over model for the GPCR-G protein interaction selectivities?",153.929;161.781;171.297,162.34,-134.03
"Is there a selectivity bar code in RGS for GPCR binding?",192.559;202.412;204.223,199.73,-165.19
"What is the structural preference for selectivity barcode residues of RGS?",149.442;158.938;165.055;171.282,161.18,-133.07
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",122.196;145.828;147.008;155.317,142.59,-117.57
"What is the overall mechanism for RGS-Galpha-based signaling?",190.178;199.111;207.5,198.93,-164.52
"What is the mechanism through which the sensor works?",311.5;317.036;318.881;324.408,317.96,-263.71
"In which cell lines did the sensor give predicted or unexpected results?",251.282;255.603;258.134;265.529,257.64,-213.45
"How were unexpected results validated? Which orthogonal assays were used?",265.729;282.327;283.536;285.657,279.31,-231.51
"What is the sequence of G protein activation steps?",223.281;226.306;226.557;229.923;234.301,228.07,-188.81
"Summarize what is happening with GPCR during G protein activation?",145.269;149.627;153.631;161.277,152.45,-125.79
"Which technologies were used to measure G protein activation?",128.207;165.429;175.244,156.29,-128.99
"What is the difference between cell surface membrane signaling and endosomal signaling?",225.906;228.03;228.207;232.734;238.018,230.58,-190.90
"Which sensors or assays can be used to explain different compartmentalization of signaling?",192.752;207.772;208.343;226.724,208.90,-172.83
