library,Evaluator,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake,nomic
GPCR,BS,"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0.850108766,0.674517278,0.726819351,0.696165729,0.945827817,0.909221321
GPCR,BS,What are the residues and their contacts that contribute to the similarities in activation pathways?,0.428155807,0.376353216,0.432438311,0.471591226,0.455340356,0.490446859
GPCR,BS,Are these residues conserved and significantly part of certain structural elements?,0.728878329,0.853528803,0.710173292,0.784154612,0.632490437,0.716312604
GPCR,BS,Are there significant rearrangements in the process of activation?,0.827761053,0.616769473,0.686134098,0.683752613,0.61939579,0.795756622
GPCR,BS,Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?,0.735485329,0.7846532,0.77699731,0.747331044,0.793063999,0.762200322
GPCR,BS,What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?,0.847549783,0.694535129,0.876113017,0.819709306,0.858426155,0.875758248
GPCR,BS,Is there any preference for the phosphorylation of regions in receptors?,0.650689069,0.634525799,0.594197109,0.610412363,0.397638085,0.681429029
GPCR,BS,How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?,0.814000336,0.78911074,0.722320247,0.825786787,0.833813956,0.718019123
GPCR,BS,"Is there the existence of a ""selectivity barcode"" on each of the 16 human G proteins for GPCR binding?",0.777569828,0.721416535,0.781583744,0.749146645,0.74671338,0.778775035
GPCR,BS,Which residue positions in the barcode are universally conserved? ,0.655204252,0.530936055,0.646876784,0.543916791,0.662042705,0.512310514
GPCR,BS,How GPCRs recognize G-protein barcodes?,0.572416315,0.574617239,0.60540029,0.591576528,0.633199116,0.62973605
GPCR,BS,What is the over model for the GPCR-G protein interaction selectivities?,0.819525958,0.856816044,0.917341049,0.874105891,0.822645403,0.848642526
GPCR,BS,Is there a selectivity bar code in RGS for GPCR binding?,0.771610632,0.782240808,0.852174988,0.877027755,0.690694692,0.858058983
GPCR,BS,What is the structural preference for selectivity barcode residues of RGS?,0.896841421,0.879007726,0.694147437,0.821867862,0.918471106,0.896762321
GPCR,BS,How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?,0.947909985,0.928013078,0.946636638,0.921502097,0.67130365,0.936507975
GPCR,BS,What is the overall mechanism for RGS-Galpha-based signaling?,0.610977853,0.926380904,0.908400449,0.95181242,0.76841759,0.91519738
GPCR,KN,What is the mechanism through which the sensor works?,0.392060032,0.519872494,0.373132569,0.305821458,0.472785762,0.283954134
GPCR,KN,In which cell lines did the sensor give predicted or unexpected results?,0.3152536,0.531368036,0.564114172,0.531368036,0.405744835,0.464727571
GPCR,KN,How were unexpected results validated? Which orthogonal assays were used?,0.625825884,0.408282124,0.625417883,0.404934505,0.738956543,0.597366079
GPCR,KN,What is the sequence of G protein activation steps?,0.766607323,0.744434119,0.825504305,0.73345256,0.779752229,0.777666952
GPCR,KN,Summarize what is happening with GPCR during G protein activation?,0.870479622,0.862035636,0.842517595,0.889830873,0.686000402,0.870303896
GPCR,KN,Which technologies were used to measure G protein activation?,0.825355331,0.722608857,0.818233624,0.790103061,0.787399016,0.83332055
GPCR,KN,What is the difference between cell surface membrane signaling and endosomal signaling?,0.34859442,0.551287757,0.303450731,0.532207612,0.220027157,0.257205089
GPCR,KN,Which sensors or assays can be used to explain different compartmentalization of signaling?,0.610456619,0.592201286,0.574872237,0.67904404,0.794022921,0.608009752
GPCR,KN,How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?,0.888651395,0.825200111,0.801961942,0.715093492,0.867242617,0.805148026
GPCR,KN,"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",0.719143008,0.823439611,0.753148916,0.817978245,0.691915368,0.710559152
GPCR,KN,Which regions of GPCR modulate ligand efficacy and which potency?,0.806358535,0.597221136,0.830166789,0.810487054,0.938394765,0.844565754
GPCR,KN,How do human and mouse TAAR1 differentiate between different ligands?,0.818468861,0.777038008,0.88559022,0.776459712,0.831206605,0.879686636
GPCR,KN,What is the basis of polypharmacology on TAAR1 receptors?,0.856875049,0.884336991,0.876110318,0.84594921,0.862626668,0.830121598
GPCR,KN,Do different ligands on the TAAR1 receptor induce different G protein signaling?,0.905962173,0.904500493,0.913521409,0.899902901,0.893654535,0.909939543
GPCR,KN,In which physiological or pathophysiological processes is TAAR1 signaling active?,0.833521737,0.762810442,0.846207057,0.796007446,0.803160463,0.835481647
GPCR,KN,How are GPCR and kinase signaling connected?,0.871240179,0.917565924,0.899052009,0.9245838,0.718911844,0.904176405
GPCR,KN,Which studies and how identified crosstalk between the GPCR and kinase signaling?,0.603659005,0.816804999,0.773305546,0.81498911,0.800383802,0.664525053
GPCR,KN,In which therapeutic areas we could target RTK/GPCR crosstalk?,0.826099672,0.801608031,0.882509454,0.805992624,0.806589998,0.862821288
GPCR,KN,What is the mechanism of GPCR-related gene transcription? ,0.851931003,0.787439287,0.831837845,0.768291911,0.751695663,0.817773801
GPCR,VTG,Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.62618886,0.711544103,0.781416587,0.671179455,0.667204014,0.641294788
GPCR,VTG,What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.726815848,0.754147254,0.649468953,0.713958184,0.59690332,0.668420092
GPCR,VTG,What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.769572856,0.525468366,0.609265066,0.699780005,0.781681054,0.62888162
GPCR,VTG,Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?,0.786545884,0.851309953,0.622058532,0.836753963,0.641385931,0.882989672
GPCR,VTG,How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.681783846,0.662118984,0.657934569,0.665806515,0.563094743,0.65611582
GPCR,VTG,Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.580070469,0.838990553,0.565237209,0.789131422,0.755682409,0.883555992
GPCR,VTG,Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.616047943,0.628483023,0.687307373,0.641113441,0.637978713,0.873490646
GPCR,VTG,How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.545942082,0.667644852,0.447135422,0.727751414,0.628108586,0.593925212
GPCR,VTG,Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?,0.696739037,0.697055238,0.474177099,0.697055238,0.733706858,0.708264774
GPCR,VTG,Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?,0.660759719,0.649816056,0.544303211,0.634430544,0.649347541,0.509736011
