library,question,qa_cos,qa_dot,mini_l6,mini_l12,snowflake
GPCR,"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0,0,0.333333332,0.666666664,0
GPCR,What are the residues and their contacts that contribute to the similarities in activation pathways?,0,0,0,0,0
GPCR,Are these residues conserved and significantly part of certain structural elements?,0,0,0,0.166666666,0
GPCR,Are there significant rearrangements in the process of activation?,0.2,0,0,0,0
GPCR,Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?,0.083333333,0,0.083333333,0,0
GPCR,What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?,0.25,0,0,0,0
GPCR,Is there any preference for the phosphorylation of regions in receptors?,0.428571428,0,0.142857143,0.2,0
GPCR,How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?,0,0,0,0,0
GPCR,"Is there the existence of a ""selectivity barcode"" on each of the 16 human G proteins for GPCR binding?",0.166666666,0,0,0,0
GPCR,Which residue positions in the barcode are universally conserved? ,0,0.05,0,0,0
GPCR,How GPCRs recognize G-protein barcodes?,0,0,0.090909091,0,0
GPCR,What is the over model for the GPCR-G protein interaction selectivities?,0,0,0.333333333,0.2,0
GPCR,Is there a selectivity bar code in RGS for GPCR binding?,0,0,0.2,0,0
GPCR,What is the structural preference for selectivity barcode residues of RGS?,0,0,0,0,0.166666666
GPCR,How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?,0.333333333,0,0.285714285,0,0.166666666
GPCR,What is the overall mechanism for RGS-Galpha-based signaling?,0.090909091,0,0.090909091,0.222222222,0.181818182
GPCR,What is the mechanism through which the sensor works?,0,0,0,0,0
GPCR,In which cell lines did the sensor give predicted or unexpected results?,0,0,0.666666666,0,0
GPCR,How were unexpected results validated? Which orthogonal assays were used?,0,0,0.399999999,0,0
GPCR,What is the sequence of G protein activation steps?,0.166666666,0,0,0.166666666,0
GPCR,Summarize what is happening with GPCR during G protein activation?,0.499999999,0,0,0.1,0
GPCR,Which technologies were used to measure G protein activation?,0,0,0,0,0
GPCR,What is the difference between cell surface membrane signaling and endosomal signaling?,0,0,0,0,0
GPCR,Which sensors or assays can be used to explain different compartmentalization of signaling?,0,0,0,0,0
GPCR,How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?,0.285714285,0,0.142857143,0,0
GPCR,"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",0.333333333,0,0.166666666,0.142857143,0
GPCR,Which regions of GPCR modulate ligand efficacy and which potency?,0,0,0.2,0,0
GPCR,How do human and mouse TAAR1 differentiate between different ligands?,0.333333333,0,0.125,0.090909091,0.125
GPCR,What is the basis of polypharmacology on TAAR1 receptors?,0.111111111,0,0.111111111,0.071428571,0
GPCR,Do different ligands on the TAAR1 receptor induce different G protein signaling?,0,0,0.142857143,0,0.142857143
GPCR,In which physiological or pathophysiological processes is TAAR1 signaling active?,0,0,0.071428571,0,0
GPCR,How are GPCR and kinase signaling connected?,0.399999999,0,0,0,0.399999999
