question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",0.481;0.486;0.543;0.63,0.54,0.80
"What are the residues and their contacts that contribute to the similarities in activation pathways?",0.708;0.723;0.727;0.737,0.72,0.65
"Are these residues conserved and significantly part of certain structural elements?",0.845;0.863;0.882,0.86,0.53
"Are there significant rearrangements in the process of activation?",0.966;0.968;1.055,1.00,0.42
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",0.395;0.395;0.554,0.45,0.88
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",0.273;0.382;0.41;0.496,0.39,0.92
"Is there any preference for the phosphorylation of regions in receptors?",0.947;0.997;1.016,0.99,0.43
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",0.674;0.689;0.691;0.709,0.69,0.67
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",0.343;0.486;0.5;0.554,0.47,0.86
"Which residue positions in the barcode are universally conserved? ",0.822;0.862;0.872;0.896,0.86,0.53
"How GPCRs recognize G-protein barcodes?",0.475;0.54;0.587,0.53,0.80
"What is the over model for the GPCR-G protein interaction selectivities?",0.619;0.638;0.638;0.645,0.64,0.72
"Is there a selectivity bar code in RGS for GPCR binding?",0.607;0.655;0.722,0.66,0.70
"What is the structural preference for selectivity barcode residues of RGS?",0.541;0.661;0.674;0.694;0.734,0.66,0.70
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",0.551;0.556;0.638,0.58,0.77
"What is the overall mechanism for RGS-Galpha-based signaling?",0.81;0.832;0.853,0.83,0.56
"What is the mechanism through which the sensor works?",1.067;1.119;1.131;1.149,1.12,0.32
"In which cell lines did the sensor give predicted or unexpected results?",0.987;1.029;1.045;1.073,1.03,0.39
"How were unexpected results validated? Which orthogonal assays were used?",1.006;1.05;1.06;1.153,1.07,0.36
"What is the sequence of G protein activation steps?",0.713;0.728;0.75,0.73,0.64
"Summarize what is happening with GPCR during G protein activation?",0.445;0.457;0.486,0.46,0.86
"Which technologies were used to measure G protein activation?",0.705;0.779;0.794;0.817,0.77,0.61
"What is the difference between cell surface membrane signaling and endosomal signaling?",1.024;1.038;1.059;1.122,1.06,0.37
"Which sensors or assays can be used to explain different compartmentalization of signaling?",0.926;0.928;0.99,0.95,0.46
"How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?",0.487;0.57;0.574;0.586,0.55,0.79
"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",0.691;0.694;0.706;0.719,0.70,0.66
"Which regions of GPCR modulate ligand efficacy and which potency?",0.598;0.624;0.65;0.681,0.64,0.72
"How do human and mouse TAAR1 differentiate between different ligands?",0.552;0.813;0.824;0.849,0.76,0.62
"What is the basis of polypharmacology on TAAR1 receptors?",0.689;0.771;0.776;0.8,0.76,0.62
"Do different ligands on the TAAR1 receptor induce different G protein signaling?",0.552;0.602;0.603;0.619;0.638;0.663;0.727,0.63,0.73
"In which physiological or pathophysiological processes is TAAR1 signaling active?",0.748;0.772;0.792,0.77,0.61
"How are GPCR and kinase signaling connected?",0.507;0.608;0.619,0.58,0.77
"Which studies and how identified crosstalk between the GPCR and kinase signaling?",0.553;0.56;0.585;0.663,0.59,0.76
"In which therapeutic areas we could target RTK/GPCR crosstalk?",0.449;0.675;0.696;0.735;0.808,0.67,0.69
"What is the mechanism of GPCR-related gene transcription? ",0.614;0.663;0.717,0.66,0.70
"Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",0.419;0.516;0.529;0.544,0.50,0.83
"What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",0.68;0.708;0.726;0.754,0.72,0.65
"What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",0.756;0.761;0.771,0.76,0.61
"Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",0.699;0.705;0.721;0.764,0.72,0.65
"How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.787;0.835;0.877,0.83,0.56
"Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.787;0.671;0.885,0.78,0.60
"Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.561;0.721;0.731;0.74;0.763,0.70,0.66
"How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.683;0.6;0.795,0.69,0.67
"Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",0.755;0.846;0.874;0.914,0.85,0.54
